arm,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,tau_applied,sigma_applied
C_P=0.1146,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.515018,6.05904,1.2212,0.277703,0.174624,0.527244,4.10027,1.41336
C_P=0.13,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.018338,6.79185,0.037077,0.234731,0.142432,1.0695,1.28034,0.339124
C_P=0.13,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0990621,6.60414,0.222504,0.204231,0.07938,1.04169,2.18073,0.688929
C_P=0.13,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.248695,6.21736,0.623444,0.435086,0.217511,0.834102,3.59057,1.0612
C_P=0.13,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.504607,5.93656,1.41749,0.368105,0.28646,0.391664,4.22184,1.34186
C_P=0.13,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0181982,6.74009,0.0362047,0.219938,0.170269,0.693224,1.17259,0.364511
C_P=0.13,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0945775,6.30517,0.207463,0.214033,0.166783,0.977333,2.04482,0.746237
C_P=0.13,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.24223,6.05574,0.575399,0.350767,0.203029,0.487657,3.28991,1.06392
C_P=0.13,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.515316,6.06254,1.29365,0.279679,0.171322,0.524171,4.10027,1.41336
C_P=0.15,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0189327,7.01212,0.0395123,0.235006,0.142722,1.07094,1.28034,0.339124
C_P=0.15,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.102019,6.80126,0.239134,0.205375,0.0792543,1.04267,2.18073,0.688929
C_P=0.15,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.254322,6.35806,0.672527,0.436697,0.21945,0.837059,3.59057,1.0612
C_P=0.15,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.512814,6.0331,1.54181,0.370557,0.290855,0.392266,4.22184,1.34186
C_P=0.15,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0188213,6.97085,0.0386164,0.220166,0.170644,0.695457,1.17259,0.364511
C_P=0.15,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0966951,6.44634,0.222712,0.215108,0.165936,0.976981,2.04482,0.746237
C_P=0.15,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.246165,6.15413,0.619552,0.352387,0.201621,0.48871,3.28991,1.06392
C_P=0.15,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.520221,6.12025,1.39986,0.282076,0.167473,0.51997,4.10027,1.41336
C_P=0.175,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0199289,7.38107,0.0430534,0.235415,0.142675,1.07174,1.28034,0.339124
C_P=0.175,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.10688,7.12532,0.262475,0.206748,0.0792082,1.04287,2.18073,0.688929
C_P=0.175,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.264494,6.61234,0.740923,0.438552,0.221793,0.840726,3.59057,1.0612
C_P=0.175,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.531761,6.25601,1.7116,0.373327,0.295823,0.392923,4.22184,1.34186
C_P=0.175,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0198666,7.35802,0.0421274,0.22054,0.170657,0.696873,1.17259,0.364511
C_P=0.175,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.100517,6.70115,0.244355,0.216386,0.164916,0.976234,2.04482,0.746237
C_P=0.175,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.254236,6.35589,0.681247,0.354205,0.200109,0.490023,3.28991,1.06392
C_P=0.175,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.530702,6.24356,1.54486,0.284815,0.163361,0.514971,4.10027,1.41336
