condition,guard,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,guard_engagement,guard_out_of_band_rms_mps2,guard_delay_sec,guard_racc_std_mps2,disp_z_ref_rms_m
1600 rpm,off,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,18.4437103,19.6754608,4.77315235,27.387537,4.60236788,4.89319324,104.31562,0.408092439,0.33019045,0.00579143409,-4.50961447,4.26108122,-4.76989174,117.245132,0.0,nan,0.0,nan,2.15460348
1600 rpm,off,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0143145565,0.0304847155,0.0303203184,0.0453160703,2.10200071,0.76510632,12.2998009,0.376137346,-0.00332695316,-0.0177188702,-0.0251703132,2.09744549,-0.745684266,-11.8083115,0.0,nan,0.0,nan,0.0499124601
1600 rpm,off,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,2.56468749,3.2814281,0.657458603,4.21635437,2.67872024,3.65941954,104.278755,0.405772418,0.0281215794,0.0314472131,-0.63517797,2.55270457,-3.604424,115.00692,0.0,nan,0.0,nan,0.385561794
1600 rpm,off,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,5.00681496,6.28750944,1.33991027,8.14839458,2.30621815,3.94559288,103.345955,0.40906623,0.0669550747,-0.256195456,-1.29678035,2.13700986,-3.86086798,-34.5977516,0.0,nan,0.0,nan,1.04037023
1600 rpm,off,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,11.011261,13.0095749,2.87626481,17.2849598,2.68149257,4.3248353,104.303352,0.410928458,0.230542019,-0.728064954,-2.75496507,2.37254667,-4.2118969,-107.798294,0.0,nan,0.0,nan,2.16781425
2400 rpm,guard,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00938116852,0.00934756175,0.011497438,0.0175377969,0.4796516,0.184283882,1.74785256,0.0876020566,0.0017616353,-0.000782721036,-0.000423417339,0.439330637,0.121154837,-1.67673779,1.0,0.144302,0.0227364,0.117754,0.0534430593
2400 rpm,guard,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0790462941,0.0944392756,0.0779870972,0.145770654,0.208898172,1.75905812,17.9589424,0.303461194,0.0225811433,-0.009164216,-0.0298173279,-0.111428611,1.63782585,-17.9311047,1.0,0.144302,0.0227364,0.0294384,0.390963972
2400 rpm,guard,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.281987935,0.215192348,0.192885906,0.403769612,0.147300661,1.58556032,14.2558241,0.274039835,0.0752098784,-0.0272270478,-0.0495494492,-0.0370662846,1.42492664,-14.2242661,1.0,0.144302,0.0227364,0.0294384,1.04307246
2400 rpm,guard,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.580353379,0.623252392,0.364535272,0.926358223,0.199910194,1.46786988,11.5296955,0.255019605,0.216841415,-0.0682326555,-0.0765340254,-0.128840208,1.28307509,-11.4555359,1.0,0.144302,0.0227364,0.0294384,2.15460348
2400 rpm,guard,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00929225609,0.00925444067,0.0114120394,0.0173846297,0.485913545,0.153318778,1.35906982,0.0868963599,0.00169721816,-0.000777538458,-0.000387013075,0.445230395,0.0914537236,-1.2848475,1.0,0.144302,0.0227364,0.117754,0.0499124601
