condition,guard,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,guard_engagement,guard_out_of_band_rms_mps2,guard_delay_sec,guard_racc_std_mps2,disp_3d_offset_m,disp_3d_ratio_to_baseline
3200 rpm,off,8,20.59875249963153,20.71376330321268,11.356503459207492,31.3422841853888,9.022786216781233,6.9312884023291215,103.89126479289523,0.36023518167620894,0.40477553984708753,0.5935528889423123,9.71864192853125,8.595456814559297,6.295261346953059,102.715085009485,0.0,nan,0.0,nan,9.745160296507999,77.45714928367804
3200 rpm,guard,8,0.4483459697901582,0.432193666965418,0.24577609677466916,0.6694859045749033,1.0868422563268723,1.7122006897065944,55.78369593705291,0.34367015418459856,0.2855954564472309,0.09313691501365855,0.10571910519543261,1.0531705250958114,1.633769660482183,36.44767167109594,1.0,0.180349,0.0227364,0.0,0.3184584413779709,1.654521072786107
3200 rpm,guard+R,8,0.3256531163741702,0.2707518075799788,0.20656024736559672,0.4711938311392352,0.19171877033016607,0.727928734738626,5.681480740150379,0.12908933300721973,0.1141827764846872,0.0032092992069766755,0.010875816119996643,0.15152963466399855,0.5790130900454029,5.60237108253562,1.0,0.180349,0.0227364,0.116541,0.11474445269130842,1.1644757830737271
"2400 rpm, quiet mount",off,8,3.206742744436666,3.1160336920376164,0.6928678311712311,4.524702281067569,2.0164170547175484,2.2194898376888945,103.91650309609061,0.38335533920566284,0.32642193913787815,0.6529872817753825,0.5678176369316501,1.8885006740543608,2.129411795794992,106.84778784253889,0.0,nan,0.0,nan,0.9248570383154245,11.18203567984468
"2400 rpm, quiet mount",guard,8,0.31459731495371857,0.27847479848424744,0.18792569915885185,0.4602561848716795,0.16857627147022564,1.1895193349639268,10.982336229711052,0.20554760671175917,0.10822126786788572,0.02033244474092652,0.010188559002161411,0.13225183579258684,1.0357371933438664,10.898767660572567,0.830808,0.0723996375,0.0188896,0.0,0.11058507070403323,1.1374452420082781
"2400 rpm, quiet mount",guard+R,8,0.30972964759431243,0.2525095863138797,0.18758938574753528,0.4414559156027584,0.14095935746112465,0.7923103992465595,6.052133422742326,0.13760075769453148,0.09032520762165869,0.004875030621914224,0.009549570856106963,0.10204298630895882,0.6338338007073517,5.940516641436849,0.830808,0.0723996375,0.0188896,0.0433340625,0.09095935003613513,1.090983559294833
"2400 rpm, engine bed",off,8,29.421047625668344,29.994315484049864,104.24478243587653,112.39320108020883,28.02691698361271,31.037940794761223,103.59912138661906,0.3543809807636137,3.325431680758737,3.898481932812399,101.80562011007645,19.913062531064348,27.926721836357054,85.02581154898479,0.0,nan,0.0,nan,101.93449339277191,277.7607689039651
"2400 rpm, engine bed",guard,8,0.6858811048336735,0.744241777972508,0.3246629996209498,1.0628898460366782,1.162032015454022,1.6820300738141878,82.83831309402993,0.3410666350042363,0.4593541537212907,0.33680307478552285,0.22464392594265248,1.0977126520274285,1.5490937840884804,88.40314783540704,1.0,0.288434375,0.0227364,0.0,0.61229685871227,2.6267523129328447
"2400 rpm, engine bed",guard+R,8,0.33748341775461227,0.27316763965626634,0.23767467749052826,0.49497966473332966,0.2170668601604969,0.6860233009231601,5.177877346878386,0.12280321578697913,0.12338335181967439,0.004773271206593282,0.012980165542542511,0.1766006300795952,0.5464256667214912,5.099980329458007,1.0,0.288434375,0.0227364,0.196049,0.12415603216026617,1.2232584439875538
"2400 rpm, wide sensor",off,8,18.6572695455536,19.08416103355143,7.757900416421802,27.79359511911529,8.756460338604752,2.256842262514085,103.72618446139364,0.3806075199791511,0.38458899673874275,0.5099696537887781,6.708643879541898,8.36933822987658,1.2239311960275638,74.94352939746472,0.0,nan,0.0,nan,6.73898215212898,68.68716503039751
