family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,1.44865537,1.60402942,0.874171793,2.33145642,2.79595494,1.63981342,16.5577869,0.491078198,0.00102267391,-1.31777811,-1.49047327,-0.809906185,2.78471684,-1.62026381,-14.9371881,1.04037023,84.0250702,21.8542957,3.67540956,0.859219134,0.999600351
OU-II,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,3.54450107,4.20181131,1.62012815,5.73092651,2.85637212,1.94811881,11.3820238,0.490600616,0.00103943632,-3.23531771,-3.87005377,-1.45074689,2.83799362,-1.91069639,-8.92798805,2.16781425,74.7355652,19.0603313,4.32133484,1.24601245,2.10784698
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0339203998,0.0423482135,0.0475100391,0.0721191242,2.55327988,1.38952482,15.6863527,0.485065103,0.0017532924,-0.0154133355,-0.0279573835,-0.0395392142,2.54523969,-1.11010718,-10.6519814,0.0534430593,88.8984222,17.5963097,1.52778685,0.0500000007,0.031018775
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,3.31691408,3.3259182,0.893692017,4.78145742,1.84356928,5.54597187,103.713013,0.51652807,0.156137019,0.194851279,-0.476771951,-0.863729119,1.7200644,-5.48479605,-42.8536453,0.390963972,228.586792,59.579464,2.50628328,0.375805289,0.257974088
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,5.38495064,5.61273956,1.56876588,7.9348321,0.916906238,4.8465004,105.623199,0.522158563,0.0854407176,1.15545106,-1.87976003,-1.47867739,0.675212979,-4.77216196,-119.662727,1.04307246,150.398544,39.2191467,3.93743062,0.794774055,0.859871507
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,11.2723341,13.3956356,3.08692861,17.7774487,1.02040648,5.05457878,102.656006,0.526559174,0.0638352707,2.2676115,-7.29223871,-2.86761618,0.254064292,-4.92977858,-69.4153595,2.15460348,143.271317,36.3168068,4.49564075,1.04101801,1.4972595
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0258060582,0.0386156291,0.0441509709,0.0640814155,2.58410573,1.3559767,9.60150051,0.487375438,0.00123558019,-0.0121604595,-0.0263463296,-0.037888594,2.57624221,-1.26347601,-7.28947067,0.0499124601,88.4568176,16.352211,1.51655376,0.0847194269,0.0313172713
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,1.83564711,1.92751122,0.574272752,2.72299266,0.904144764,4.29054928,103.943153,0.519621134,0.107763201,0.215653524,-0.582968712,-0.543721497,0.7855497,-4.24589348,-78.0688019,0.385561794,148.944412,38.2848473,2.32581019,0.413947493,0.298960775
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,3.16286111,3.56881666,1.05051231,4.88300323,0.814785838,3.73448539,104.324432,0.520916045,0.0477775261,1.46122205,-2.28338385,-0.816950023,0.0275797863,-3.62990689,-101.025276,1.04037023,100.974854,26.2628078,3.6754992,0.858957052,0.999360561
OU-II,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,5.39207506,4.67414761,1.54444945,7.30119514,2.88118649,1.72300649,74.7171097,0.463055611,0.00492386799,-0.716635883,-3.51356792,-1.09293151,0.0352731757,-1.50352466,-51.4877815,2.16781425,71.244545,18.1699924,4.32140827,1.24587297,2.10767508
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.16012539,0.18152523,0.0874015465,0.257353038,0.59399575,3.03977966,105.632385,0.501988232,0.0720267072,0.0422819965,-0.0672403798,-0.0486206077,-0.113019317,-3.0005455,-103.736023,0.0534430593,163.541428,32.3709412,1.77898848,0.0852833241,0.0353641547
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,5.95197153,5.95835781,1.96474361,8.64801788,6.56713486,6.71099281,104.289925,0.50851059,0.259217978,0.096160695,-0.403438628,-1.84638667,6.242661,-6.64672422,-133.185944,0.390963972,502.5383,130.98291,2.51358891,0.379444242,0.260347366
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,11.5304174,11.6859055,3.71782517,16.8325024,5.29314375,7.2969532,103.818039,0.514129877,0.185792401,0.732278287,-2.01733351,-3.53324819,4.99833107,-7.19819164,-84.5637131,1.04307246,356.430206,92.9456329,3.93927646,0.79631722,0.86127013
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,21.403759,21.7619133,7.06124687,31.3299065,4.82309389,7.86058903,104.074768,0.517772913,0.146505997,3.06316042,-5.79971743,-6.68506622,4.38583851,-7.71912003,-97.455925,2.15460348,327.728363,83.073494,4.49785376,1.04068387,1.49845707
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.109723412,0.132829919,0.0805794522,0.190200061,0.98697263,2.68768406,102.556923,0.474975497,0.0440917276,0.0363519937,-0.0597701371,-0.039177604,0.0580188297,-2.60372257,-89.7288818,0.0499124601,161.441559,29.8442402,1.8050319,0.100635394,0.0345758125
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,4.26251936,4.261724,1.17628825,6.14125538,3.80058122,6.1026721,104.378387,0.512598634,0.211561814,0.220368341,-0.431657046,-1.12331772,3.57673383,-6.02599096,-149.011978,0.385561794,305.084229,78.4192123,2.33307147,0.416915834,0.302213222
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,6.52182627,6.75040102,1.79443514,9.55626202,1.70502758,5.70145321,103.785683,0.52145654,0.130607381,0.798851669,-1.94293892,-1.72350144,1.45187068,-5.60179567,-83.5284042,1.04037023,172.480438,44.860878,3.67755818,0.860372782,1.00156403
OU-II,speed,speed 2000 rpm,2000.0,0.6,80.0,0.512922,0.410564,50.0,38.4615,1.70683e-05,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,12.0269289,12.7945356,3.16942477,17.8435535,1.1965152,5.6221385,105.499222,0.526854217,0.0949737281,3.6525445,-6.07120705,-2.98139453,0.404173523,-5.47688723,-125.78611,2.16781425,146.203705,37.2873497,4.32295418,1.24598038,2.10904694
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0209482759,0.0425027572,0.0491103306,0.0682432353,2.57842088,1.04849982,53.3031883,0.463647246,0.0111624198,0.000545839139,-0.0351479873,-0.0393540263,2.18830919,-0.240140021,-19.247015,0.0534430593,91.8928146,18.1890106,1.52721369,0.0779613107,0.0310668964
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,6.51945877,6.50909948,2.73511267,9.61002445,10.0897036,4.27080584,103.848206,0.493539184,0.309132129,0.165578917,-0.479819149,-2.53993464,9.76051903,-4.1339879,-80.1548233,0.390963972,699.581726,182.340836,2.50615191,0.37701419,0.258056104
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,13.462719,13.5863008,6.31110382,20.1410618,10.0719881,5.57204962,103.372498,0.498046637,0.237894133,1.05471313,-1.83603489,-5.83243704,9.71113586,-5.44125605,-15.4531479,1.04307246,605.049377,157.777588,3.937428,0.79490304,0.860014021
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,25.0722523,24.1387482,13.8234253,37.4484177,10.8167667,6.60769939,103.744446,0.498699963,0.204514176,2.23872781,-6.62487078,-12.6925449,10.3442068,-6.40096617,-86.7600937,2.15460348,641.576294,162.628525,4.49572897,1.04084599,1.49736512
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0128360512,0.0435255207,0.0493104868,0.0670131296,2.8067553,0.392150342,13.208765,0.469575703,0.00123867695,-0.000804296462,-0.0357709303,-0.0446093976,2.80504704,0.041790992,-11.3034468,0.0499124601,98.7939453,18.2631435,1.51611638,0.08707086,0.0313713625
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,5.21334696,5.25322676,1.66735375,7.58653069,7.2942872,4.81788111,103.754318,0.49837625,0.26320222,0.0956964865,-0.464888304,-1.58511579,7.01821947,-4.72806311,-77.8493271,0.385561794,432.447876,111.156914,2.32561207,0.413662016,0.29905349
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,9.38410282,9.67472935,2.91372705,13.789546,5.61301661,5.65368938,103.437523,0.506348491,0.187291712,0.75199306,-2.0102973,-2.79363966,5.34370565,-5.54766798,-64.8479691,1.04037023,280.066376,72.8431778,3.67552376,0.859026492,0.999545753
OU-II,speed,speed 2400 rpm,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,16.7223034,17.5776081,5.38746595,24.8522129,5.08731079,6.20365047,104.246819,0.511205912,0.15297778,2.98303127,-6.15578938,-5.15157986,4.67016983,-6.05959797,-105.512306,2.16781425,248.520645,63.3819504,4.32147217,1.2458744,2.10778809
OU-II,speed,speed 2800 rpm,2800.0,0.6,80.0,0.698617,0.506742,70.0,53.8462,3.16641e-05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0450391993,0.0508815423,0.0300262515,0.074290216,2.3470304,0.801665127,107.506195,0.415885448,0.0576098152,0.00718801608,-0.0298957955,-0.0149625279,2.28071904,0.575012863,-110.646416,0.0534430593,56.1836319,11.1208334,1.52687764,0.0777601302,0.0311163198
OU-II,speed,speed 2800 rpm,2800.0,0.6,80.0,0.698617,0.506742,70.0,53.8462,3.16641e-05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,6.65503359,6.63790178,2.97763252,9.8598938,11.0784893,1.80149114,104.161926,0.476419359,0.316085219,0.126304701,-0.434950709,-2.72985458,10.8162632,0.213354215,-122.632324,0.390963972,761.612976,198.508835,2.50620079,0.377816886,0.258068591
OU-II,speed,speed 2800 rpm,2800.0,0.6,80.0,0.698617,0.506742,70.0,53.8462,3.16641e-05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,13.7634993,13.6351614,7.37903214,20.731657,11.9705496,1.81965518,104.233406,0.479242593,0.25383231,0.631712139,-2.20835328,-6.71149349,11.6350145,-0.822210968,-106.926994,1.04307246,707.432373,184.4758,3.93743896,0.794906795,0.860061228
OU-II,speed,speed 2800 rpm,2800.0,0.6,80.0,0.698617,0.506742,70.0,53.8462,3.16641e-05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,24.2359295,23.9409657,16.1227703,37.6894417,13.2091208,2.29086924,103.608566,0.478426814,0.220648855,2.57394338,-4.94985437,-14.6020098,12.7452335,-1.29229069,-28.8124237,2.15460348,748.294067,189.679642,4.49561691,1.04084635,1.49736571
