family,arm,label,rpm,level_mps2,bandwidth_hz,hull_rms_mps2,recorded_rms_mps2,firing_hz,blade_hz,vre_offset_mps2,records,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_x_mean_m,disp_y_mean_m,disp_z_mean_m,roll_mean_deg,pitch_mean_deg,yaw_mean_deg,disp_z_ref_rms_m,disp_z_pct_refrms,disp_3d_ratio_to_baseline,disp_z_ratio_to_baseline,pitch_ratio_to_baseline,yaw_ratio_to_baseline
OU-II,bandwidth,bandwidth 40 Hz,2400.0,0.6,40.0,0.6,0.293871,60.0,46.1538,2.33556e-05,8,1.535497576700264,2.537178668391534,0.7793922470051343,3.066346441671338,1.4571900403789542,2.3711741296786997,72.3988444980683,0.4376642700794711,0.03920262440170424,1.2758775207905706,2.3205084602963715,0.6893060403540079,1.2350776107886428,2.1869793403555775,80.347699303432,1.2154712712291358,64.12263830941723,5.952226047687126,2.662906575513304,12.682868330074324,121.2953145147581
OU-II,bandwidth,bandwidth 160 Hz,2400.0,0.6,160.0,0.6,0.603447,60.0,46.1538,2.33556e-05,8,7.831450724684328,8.3873910360339,3.3963860202107425,11.967262940217923,6.593173269597419,2.9058549932553928,97.84700434968583,0.47252357662665945,0.23259592939325613,1.3982303580962843,2.956249449841793,3.07451924362811,6.313761427255453,2.5758860935801087,91.10585402777893,1.2154712712291358,279.42955959593957,23.23020426663219,11.604245103737949,15.542754032467895,163.93056062156782
OU-II,path,accelerometer only,2400.0,0.6,80.0,0.6,0.454334,60.0,46.1538,2.33556e-05,8,12.487277418645787,12.451056535436578,5.904055541329666,18.596203000959015,7.463094370295136,4.845034907609711,91.8860255054063,0.4926509203531738,0.20057769533178177,1.3993316912443465,3.3464086167477207,5.460689081529789,7.151060127526399,4.71064279113051,67.1613769881066,1.2154712712291358,485.74208877510006,36.09794457212535,20.17206147946062,25.914984065786125,153.94367742273448
OU-II,matched,matched 20 Hz,2400.0,1.4620249498535833,20.0,1.46202,0.454335,60.0,46.1538,0.000138675,8,2.6776425188244475,2.67756226734073,0.9682289341246253,3.908526276174672,1.9225844880790681,2.4068890182529823,73.66495563943981,0.46668408901701147,0.03273662741213391,2.4473294629119504,2.3621837248156416,0.8763744573145915,1.8335332689654606,2.281046471911489,81.61671947123499,1.2154712712291358,79.65872637577945,7.587020042143697,3.308094486684979,12.873899104044636,123.41652722427025
OU-II,matched,matched 40 Hz,2400.0,0.9276192615127047,40.0,0.927619,0.454334,60.0,46.1538,5.58249e-05,8,4.474057502728158,5.368908833484871,1.1519144106810857,7.083027559506089,3.8718478400109286,1.7964941536811987,90.71089658123407,0.46776934921411445,0.1365412410143644,1.8066967649916583,3.685859274739127,1.0232738968782171,3.7584103564244717,1.5989732752733385,80.00784079687948,1.2154712712291358,94.77101087845715,13.749190425201393,3.9356825403614626,9.609036519799723,151.97489417155063
OU-II,matched,matched 160 Hz,2400.0,0.45173876081909436,160.0,0.451739,0.454334,60.0,46.1538,1.32392e-05,8,3.8992130811667973,4.7491840849069495,1.0222854590725883,6.229260067745669,2.6022368166663,3.2726591770056723,90.21158100970209,0.49298361523507744,0.15747690716603785,1.6023383094836363,3.2722280028696207,0.8562729629852809,2.4080552378907463,3.1574018141866715,84.3398997725477,1.2154712712291358,84.10609804366747,12.091903096521404,3.4927864390189383,17.504705753852253,151.13835265336795
OU-III,baseline,engine off,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,8,0.2884273436786976,0.22117398441240974,0.17906935077876276,0.4051840322517576,0.25128499383134495,0.1561131088769337,0.5762863089976128,0.04944729260195881,0.00011762156972593488,0.03973190605304271,0.015747615183137248,0.007176977598470532,0.21793517893062117,0.14643751374856792,0.4976269146968137,1.2154712712291358,14.732503763555044,1.0,1.0,1.0,1.0
OU-III,speed,speed 800 rpm,800.0,0.6,80.0,0.381445,0.375112,20.0,15.3846,9.43957e-06,8,3.024889912332542,3.055926239071989,0.7815693343395212,4.370296882129996,2.1101463776392277,2.111771360410436,99.75705491438539,0.3930028558438352,0.09239524705280812,0.24966760974132973,0.47016056760308234,0.688517124432255,2.0505299024641466,2.054752152124189,101.52857913718361,1.2154712712291358,64.30175297760557,10.785955354268626,4.364618126667233,13.52718791908229,173.10328799568728
OU-III,speed,speed 1200 rpm,1200.0,0.6,80.0,0.41992,0.394336,30.0,23.0769,1.14399e-05,8,6.331146519242452,6.252800051227694,1.4013451203387977,9.008035067138836,2.2045513223516613,3.214658235578311,92.10627668811374,0.3936782588533828,0.12252445294639559,0.17744245786712112,0.3597667520213597,1.3414965670163885,2.093343539406092,3.1604056100021105,80.4804130733666,1.2154712712291358,115.29232763532933,22.231959677872428,7.825711738186489,20.59185329601292,159.82728593417838
OU-III,speed,speed 1600 rpm,1600.0,0.6,80.0,0.442537,0.380973,40.0,30.7692,1.27054e-05,8,10.941931817016084,11.011381638910667,2.644195405714182,15.747004602348925,3.864957911805635,3.8791148262532635,90.24288667647026,0.3997030243331125,0.17322792238546963,0.38881611601657745,0.3180431062513459,2.4880523234945966,3.649269917611736,3.7809943648465643,100.76807787693717,1.2154712712291358,217.5448707265833,38.86383309538876,14.766320390478446,24.84810439148469,156.59384106042347
