scenario,wave_phase_seed,imu_noise_seed,initialization_seed,family,input_sha256,samples,window_s,disp_z_pct_hs,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_3d_rms_mps2,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,97,503,1409,OU_III,53d09249a20f2b1ef286496dc9d5002d8889acf86db50f04b1bc0f98ad6b1f97,180000,900.0,5.25592709,0.0788389072,0.125170544,0.0825053081,0.134913683,2.50957298,0.0248636361,0.0250698775,0.000137794268
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,97,503,1409,TFG,53d09249a20f2b1ef286496dc9d5002d8889acf86db50f04b1bc0f98ad6b1f97,180000,900.0,5.2165103,0.0782476589,0.117837429,0.0843490884,0.0649250671,2.23023891,0.0225403495,0.0158832483,0.00011652222
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,131,601,1511,OU_III,8786f8a443972b03121c1bd289f9880c700b3052889c8821955d5521a14bdef7,180000,900.0,5.04182863,0.0756274313,0.118335128,0.252233446,0.320709705,0.662145972,0.0246731713,0.0695596188,8.97770442e-05
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,131,601,1511,TFG,8786f8a443972b03121c1bd289f9880c700b3052889c8821955d5521a14bdef7,180000,900.0,5.09791422,0.0764687136,0.114642061,0.17517601,0.210052386,0.316485077,0.0221883878,0.0458370522,8.82549793e-05
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,173,701,1601,OU_III,f52a8105496e94568c0e4df21f8150e6a1595bf2f8dc2ffead834ec2d6576c29,180000,900.0,4.84977436,0.0727466196,0.118033759,0.147690549,0.164230347,2.05841565,0.02367419,0.0358765423,0.00013561052
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,173,701,1601,TFG,f52a8105496e94568c0e4df21f8150e6a1595bf2f8dc2ffead834ec2d6576c29,180000,900.0,4.81783438,0.0722675174,0.111649558,0.140947789,0.304109961,2.38720059,0.0228669588,0.0554952137,0.00012485731
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,211,809,1709,OU_III,ff19509c5b9461134e9da9c6847daa71ee6e5ba2f9557e4eb28fa316b49509d7,180000,900.0,5.16471004,0.0774706528,0.12061666,0.697235286,0.372886062,2.82710195,0.0305545554,0.133837596,0.000128951258
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,211,809,1709,TFG,ff19509c5b9461134e9da9c6847daa71ee6e5ba2f9557e4eb28fa316b49509d7,180000,900.0,5.1356411,0.0770346224,0.12283764,0.832740366,0.374952167,2.70386219,0.0311583225,0.152849168,0.000108520435
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,257,907,1801,OU_III,c4e0949872108155bde59db0626ad0d1da44b5b9e21af678805465c3a193a29b,180000,900.0,4.97131634,0.0745697469,0.119386353,0.130254149,0.25483042,2.29302073,0.0243046544,0.0481695421,0.000121425583
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,257,907,1801,TFG,c4e0949872108155bde59db0626ad0d1da44b5b9e21af678805465c3a193a29b,180000,900.0,4.96368742,0.0744553134,0.115723878,0.0789785981,0.195529014,2.26166368,0.0222972222,0.0362567678,0.000126567029
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,307,1009,1901,OU_III,39f2a9d014a667f5ba3c8a561c3256a99e3fe76977abe93dbbdb463afd675652,180000,900.0,5.07273054,0.0760909617,0.118370838,0.313026458,0.223908857,1.70454288,0.0244449638,0.0656541362,0.000102091763
stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,307,1009,1901,TFG,39f2a9d014a667f5ba3c8a561c3256a99e3fe76977abe93dbbdb463afd675652,180000,900.0,5.07878637,0.0761817992,0.116809316,0.441737115,0.1828897,1.67829835,0.0246664528,0.0825385675,0.000107803666
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,11,101,1009,OU_III,4f391cf8206721e53f885e23fe9e859d080a446815a09c6ac06e56772c45a468,180000,900.0,4.41246176,0.176498473,0.340430409,0.392672777,0.510019481,3.16785455,0.0445504412,0.110710979,0.000152236928
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,11,101,1009,TFG,4f391cf8206721e53f885e23fe9e859d080a446815a09c6ac06e56772c45a468,180000,900.0,4.41715002,0.176686004,0.323732823,0.39490068,0.582184017,3.41606164,0.0459693149,0.120957784,0.000103336672
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,29,211,1103,OU_III,2811db553c5f50f5be135e7f89fe550e5047fd86f3a7b7ed881d24b700ad8ff1,180000,900.0,4.16640377,0.166656151,0.328934252,0.138843954,0.284956247,0.32326746,0.0249723606,0.0532316789,0.000119701333
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,29,211,1103,TFG,2811db553c5f50f5be135e7f89fe550e5047fd86f3a7b7ed881d24b700ad8ff1,180000,900.0,4.19679165,0.167871669,0.326447487,0.166653916,0.102478802,0.651063621,0.0253004096,0.032827206,0.000112913105
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,47,307,1201,OU_III,fe2949e22e333f94dce40c3f6f9068227d5de3597062742f2bea59e9ef83ad9c,180000,900.0,4.22929859,0.169171944,0.341160238,0.282065034,0.102267012,2.71821046,0.03466364,0.0478358604,0.000118149095
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,47,307,1201,TFG,fe2949e22e333f94dce40c3f6f9068227d5de3597062742f2bea59e9ef83ad9c,180000,900.0,4.26461458,0.170584589,0.344774902,0.42892012,0.279597282,3.17354918,0.0369094647,0.0849274844,0.000115622875
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,71,401,1301,OU_III,7676ed88a434ffad7c1ddd79070f4a4d6992d668410dd972c083237d96a6791d,180000,900.0,4.09474134,0.16378966,0.342034936,0.17945312,0.182406202,0.808974147,0.0288620219,0.042744901,0.000104163271
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,71,401,1301,TFG,7676ed88a434ffad7c1ddd79070f4a4d6992d668410dd972c083237d96a6791d,180000,900.0,4.1131649,0.164526597,0.338000208,0.114841975,0.217101157,0.829301596,0.0256599206,0.0397056602,0.000102927239
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,97,503,1409,OU_III,fa15a9ff29f83406b54ddb005724faf0d143522cb46ac62759831ab4b2c8cbec,180000,900.0,4.56954336,0.182781726,0.339206427,0.0972334966,0.138071179,1.50631666,0.0286673941,0.025568543,0.00013302303
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,97,503,1409,TFG,fa15a9ff29f83406b54ddb005724faf0d143522cb46ac62759831ab4b2c8cbec,180000,900.0,4.58274651,0.183309868,0.330357611,0.141182601,0.142887801,1.56633592,0.0289000515,0.03302164,0.000117765194
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,131,601,1511,OU_III,a5e6e956d0c287b4634ec5166d0f41315bd218c66d3a28e45c4e325266a6f744,180000,900.0,4.44546032,0.177818418,0.328231752,0.203163445,0.31473887,0.327024668,0.027518142,0.0625233799,9.84617582e-05
stationary_jonswap_H4_000_L112_766_A30_00_P30_00,131,601,1511,TFG,a5e6e956d0c287b4634ec5166d0f41315bd218c66d3a28e45c4e325266a6f744,180000,900.0,4.44713402,0.177885354,0.321580112,0.221228883,0.271206826,0.463666528,0.0256575067,0.0576440506,9.37790755e-05
