experiment,case,parameter,scale_label,mode,metric,n,mean,std,bootstrap_ci95_low,bootstrap_ci95_high
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_z_rms_m,10,0.08584249391,0.0061304066292999755,0.08225724200775,0.089478152337
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_3d_rms_m,10,0.2649284303,0.015777985037025745,0.25567159875,0.27419717724
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_x_pct_hs,10,9.86898756,0.3444235073860808,9.67999182,10.0809656
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_y_pct_hs,10,13.435375670000003,1.4996851554469646,12.54249044675,14.304464905749999
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_z_pct_hs,10,5.72283268,0.40869371737413196,5.4833373856000005,5.96126670175
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_3d_pct_refmax,10,20.20528298,1.6191815578775022,19.319152269999996,21.226081975
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_z_ref_rms_m,10,0.37427037360000004,0.004893837461117378,0.37134892671749997,0.377139804245
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,disp_z_pct_refrms,10,22.95232945,1.8516581119996456,21.888555253,24.0447025415
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,roll_rms_deg,10,0.6221087856999999,0.3712812737578879,0.41075040099999993,0.84216594003
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,pitch_rms_deg,10,0.3115673242,0.14756437694671942,0.22624974103,0.4034788128699999
sensitivity,tau_rs_x1.25,tau_rs,1.25,FixedSensitivity,yaw_rms_deg,10,2.5487663115000005,2.7826605150976187,1.1412417565000001,4.355159463662499
