experiment,parameter,left_case,right_case,comparison,metric,n_pairs,mean_paired_difference,std_paired_difference,bootstrap_ci95_low,bootstrap_ci95_high,cohen_dz,hedges_gz
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,disp_x_pct_hs,10,-0.20902443399999998,1.118549595245852,-0.8482152519250005,0.45193959577499976,-0.186870957611904,-0.17077667616674935
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,disp_y_pct_hs,10,7.794724559999999,2.230312985658694,6.5182190815,9.091601542500001,3.494901661839147,3.193902878038861
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,disp_z_pct_hs,10,1.8814204209999996,0.33038895435990334,1.6980487766249999,2.0783119926999993,5.694562109817109,5.204117331915078
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,disp_3d_pct_refmax,10,7.6682779299999995,2.179314537134624,6.435475306499997,9.02710293,3.518665066164473,3.215619656595291
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,disp_z_ref_rms_m,10,0.0,0.0,0.0,0.0,nan,nan
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,disp_z_pct_refrms,10,7.549905959999999,1.3813501332367282,6.781424435999998,8.4091111835,5.465599038463435,4.9948737298572485
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,roll_rms_deg,10,0.0009482963000000205,0.0040228962666141845,-0.0012783655799999964,0.0033807008874999923,0.2357247707006229,0.2154229493168559
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,pitch_rms_deg,10,-0.007742278200000008,0.02727535739477063,-0.023226076775000014,0.00820778816999998,-0.28385615953411475,-0.2594090170788885
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,yaw_rms_deg,10,-0.01571609579999992,0.06233012698844283,-0.04889072527500002,0.022817171245000194,-0.25214284904174794,-0.2304270188842932
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_axis_error_deg,10,0.06834259065999997,0.01765089500217402,0.058019905971499884,0.0785767358675,3.871905115949212,3.538436868869115
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_axis_abs_error_deg,10,0.022715759739999973,0.07019894461453348,-0.02092391897950004,0.06120952649499995,0.3235911859463635,0.29572186004175655
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_axis_rmse_deg,10,0.002971069999999898,0.01290411141949661,-0.004519307000000254,0.010697555249999395,0.23024212232939625,0.21041249462986455
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_axis_circ_std_deg,10,-0.000301260000000525,0.01304984494869188,-0.007904816750000924,0.007573769749999773,-0.02308533175566376,-0.021097105060202386
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_sense_forward_pct,10,-0.01666795999999806,0.08661925661809382,-0.0678915444999971,0.03338985400000096,-0.19242788094438928,-0.17585500887592387
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_sense_reverse_pct,10,-0.010444438799999994,0.04093956741285572,-0.035445827232499984,0.012833333544999975,-0.2551184455534883,-0.2331463418244782
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_sense_uncertain_pct,10,0.027111138,0.06947759973606242,-0.010501330450000014,0.07078192639999988,0.3902140848704066,0.3566068545868726
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_sense_dominant_pct,10,-0.01666795999999806,0.08661925661809382,-0.06761311249999649,0.034998319250002255,-0.19242788094438928,-0.17585500887592387
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_travel_error_deg,10,0.07596318848000003,0.024400742059205775,0.06185476560250003,0.0903606003805,3.113150751550241,2.8450303062068785
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_travel_abs_error_deg,10,0.021908175420000016,0.07597229872284308,-0.02304849085750002,0.06535245314500003,0.28837057438427544,0.2635346274615858
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_travel_rmse_deg,10,-0.05109901000000008,0.2802072689687974,-0.21309898774999989,0.11581861424999994,-0.18236147187777,-0.16665557037942758
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_travel_correct_pct,10,-0.01666795999999806,0.08661925661809382,-0.06766893999999582,0.0342765700000001,-0.19242788094438928,-0.17585500887592387
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_travel_wrong_pct,10,-0.010444438799999994,0.04093956741285572,-0.034888863607499966,0.012888878237499974,-0.2551184455534883,-0.2331463418244782
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,dir_travel_unresolved_pct,10,0.027111138,0.06947759973606242,-0.011610996200000001,0.07039026582499994,0.3902140848704066,0.3566068545868726
sensitivity,tau_rs,x1.5,x1,tau_rs_x1.5_minus_x1,accel_bias_3d_rms_mps2,10,-0.00036120701000000066,0.0023676013633702115,-0.0017161295017500023,0.0010431979439999997,-0.1525624269306185,-0.1394229714028281
