c_sigma,c_J,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.9,0.038,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.355856,4.18654,0.89879,0.269935,0.180436,0.500743,11.0477,4.10091,1.49645
0.9,0.046,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122335,4.53093,0.0277324,0.226681,0.173195,1.13554,0.152224,1.28051,0.359651
0.9,0.046,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0633307,4.22205,0.159687,0.18583,0.130874,1.26668,1.31073,2.18038,0.730129
0.9,0.046,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.167262,4.18155,0.455582,0.359577,0.132998,0.300402,7.56658,3.58993,1.12395
0.9,0.046,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.327403,3.8518,1.0259,0.308517,0.15081,0.754013,15.0135,4.22171,1.42123
0.9,0.046,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121205,4.48908,0.0266127,0.217838,0.177264,0.704858,0.150053,1.17236,0.386398
0.9,0.046,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0613691,4.09127,0.144519,0.209842,0.168239,0.97601,1.17179,2.04464,0.79012
0.9,0.046,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.161737,4.04343,0.412112,0.347778,0.195987,0.493151,5.54431,3.29004,1.12649
0.9,0.046,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.340518,4.0061,0.925074,0.270816,0.18098,0.509593,13.3735,4.10091,1.49645
0.9,0.0538,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122078,4.52141,0.0283483,0.226935,0.172642,1.13451,0.16465,1.28051,0.359651
0.9,0.0538,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0629639,4.1976,0.165004,0.186616,0.129755,1.26508,1.53298,2.18038,0.730129
0.9,0.0538,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.166314,4.15785,0.471824,0.360818,0.130778,0.303065,8.8496,3.58993,1.12395
0.9,0.0538,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.32168,3.78447,1.07193,0.30995,0.149702,0.754769,17.5593,4.22171,1.42123
0.9,0.0538,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121155,4.48723,0.02711,0.218011,0.177094,0.704893,0.152396,1.17236,0.386398
0.9,0.0538,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0601281,4.00854,0.148108,0.210521,0.167161,0.974615,1.37049,2.04464,0.79012
0.9,0.0538,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.158666,3.96665,0.425739,0.348774,0.194902,0.493365,6.48443,3.29004,1.12649
0.9,0.0538,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.331921,3.90496,0.965206,0.27183,0.180651,0.514842,15.6412,4.10091,1.49645
0.9,0.062,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122773,4.54716,0.0293415,0.227219,0.172044,1.13353,0.185677,1.28051,0.359651
0.9,0.062,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0635681,4.23787,0.172209,0.187367,0.128827,1.26377,1.76664,2.18038,0.730129
0.9,0.062,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.167527,4.18818,0.493038,0.361962,0.128926,0.305468,10.1984,3.58993,1.12395
0.9,0.062,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.320532,3.77096,1.12781,0.311309,0.148828,0.755264,20.2355,4.22171,1.42123
0.9,0.062,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121338,4.49399,0.0279248,0.218238,0.176714,0.704588,0.168093,1.17236,0.386398
0.9,0.062,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0598519,3.99013,0.153702,0.211177,0.166224,0.973355,1.57937,2.04464,0.79012
0.9,0.062,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.157897,3.94743,0.444705,0.349647,0.194217,0.493267,7.47277,3.29004,1.12649
0.9,0.062,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.327215,3.84959,1.01638,0.272938,0.179864,0.518292,18.0251,4.10091,1.49645
0.9,0.072,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0125013,4.63013,0.0308402,0.227566,0.171282,1.13225,0.215173,1.28051,0.359651
0.9,0.072,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0651911,4.34607,0.182328,0.188195,0.127949,1.26255,2.05158,2.18038,0.730129
0.9,0.072,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.170891,4.27228,0.522307,0.363203,0.127114,0.308027,11.8433,3.58993,1.12395
0.9,0.072,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.323657,3.80772,1.20176,0.312806,0.147983,0.755439,23.4994,4.22171,1.42123
0.9,0.072,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122728,4.54548,0.0292258,0.218549,0.176094,0.703864,0.190317,1.17236,0.386398
0.9,0.072,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0604608,4.03072,0.162059,0.211913,0.165276,0.972093,1.83411,2.04464,0.79012
0.9,0.072,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159163,3.97908,0.471662,0.350553,0.193737,0.492933,8.67807,3.29004,1.12649
0.9,0.072,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.325556,3.83008,1.08577,0.274306,0.178457,0.520427,20.9324,4.10091,1.49645
0.9,0.085,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0129764,4.80606,0.0330618,0.228007,0.170316,1.13057,0.253783,1.28051,0.359651
0.9,0.085,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0681767,4.54511,0.196678,0.18917,0.127039,1.26129,2.422,2.18038,0.730129
0.9,0.085,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.177075,4.42687,0.563269,0.364598,0.125346,0.310665,13.9817,3.58993,1.12395
0.9,0.085,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.332363,3.91015,1.30258,0.314542,0.147134,0.75513,27.7424,4.22171,1.42123
0.9,0.085,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0126388,4.68105,0.0312183,0.21897,0.175233,0.702685,0.22064,1.17236,0.386398
0.9,0.085,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.06224,4.14934,0.174364,0.212767,0.164325,0.970856,2.16527,2.04464,0.79012
0.9,0.085,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.163056,4.0764,0.509961,0.351585,0.193356,0.492465,10.2449,3.29004,1.12649
0.9,0.085,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.328097,3.85997,1.18175,0.276039,0.176283,0.521101,24.7119,4.10091,1.49645
0.9,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0136778,5.06584,0.0358122,0.228485,0.169249,1.12869,0.298447,1.28051,0.359651
0.9,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0722973,4.81982,0.214006,0.190168,0.126243,1.26027,2.84941,2.18038,0.730129
0.9,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.185548,4.6387,0.612254,0.36598,0.123855,0.313095,16.4491,3.58993,1.12395
0.9,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.346081,4.07154,1.42088,0.316326,0.146307,0.754201,32.6381,4.22171,1.42123
0.9,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0132315,4.90054,0.0337372,0.219433,0.17422,0.70115,0.257247,1.17236,0.386398
0.9,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0651075,4.3405,0.189557,0.213645,0.163469,0.969804,2.54737,2.04464,0.79012
0.9,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.169358,4.23394,0.556183,0.352657,0.192981,0.492186,12.0528,3.29004,1.12649
0.9,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.33568,3.94917,1.29547,0.277925,0.173658,0.520275,29.0727,4.10091,1.49645
1.3,0.03,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123811,4.58559,0.0275798,0.222692,0.189896,1.17251,0.150005,1.28051,0.519496
1.3,0.03,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0707459,4.7164,0.159305,0.181247,0.156862,1.32897,0.854823,2.18038,1.05463
1.3,0.03,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.184389,4.60974,0.448933,0.342958,0.182462,0.280502,4.93473,3.58993,1.62349
1.3,0.03,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.36869,4.33753,0.981575,0.301502,0.177117,0.814557,9.79143,4.22171,2.05289
1.3,0.03,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122279,4.52886,0.0265581,0.214598,0.190198,0.737499,0.150005,1.17236,0.558131
1.3,0.03,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0711225,4.7415,0.149063,0.207619,0.178726,0.99676,0.764212,2.04464,1.14128
1.3,0.03,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.18484,4.621,0.414571,0.341366,0.214652,0.467315,3.61586,3.29004,1.62716
1.3,0.03,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.387403,4.55768,0.901935,0.266112,0.197494,0.535815,8.72183,4.10091,2.16154
1.3,0.038,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123702,4.58157,0.0275936,0.222775,0.189428,1.17138,0.150006,1.28051,0.519496
1.3,0.038,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0660432,4.40288,0.157375,0.182155,0.155223,1.32727,1.08278,2.18038,1.05463
1.3,0.038,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.173326,4.33315,0.446346,0.344427,0.179344,0.282311,6.25065,3.58993,1.62349
1.3,0.038,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.343056,4.03596,0.992151,0.303263,0.174781,0.81622,12.4024,4.22171,2.05289
1.3,0.038,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122293,4.52937,0.026568,0.214593,0.19025,0.737634,0.150005,1.17236,0.558131
1.3,0.038,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0653637,4.35758,0.144633,0.208308,0.177343,0.995854,0.968003,2.04464,1.14128
1.3,0.038,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.170802,4.27004,0.407025,0.343237,0.210823,0.46981,4.58008,3.29004,1.62716
1.3,0.038,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.359646,4.23112,0.900126,0.266559,0.200056,0.550716,11.0477,4.10091,2.16154
1.3,0.046,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0123062,4.55786,0.0277845,0.222938,0.188877,1.17017,0.152224,1.28051,0.519496
1.3,0.046,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0639098,4.26065,0.160025,0.183018,0.153875,1.32554,1.31073,2.18038,1.05463
1.3,0.046,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.168398,4.20996,0.455757,0.345723,0.176879,0.283727,7.56658,3.58993,1.62349
1.3,0.046,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.32929,3.874,1.0259,0.304888,0.173085,0.817281,15.0135,4.22171,2.05289
1.3,0.046,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122338,4.53105,0.0267032,0.214671,0.190171,0.737549,0.150053,1.17236,0.558131
