c_sigma,c_R,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.9,68.44,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.097424,6.49493,0.326724,0.218969,0.160142,0.966987,8.78484,2.04464,0.79012
0.9,68.44,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.199848,4.99621,0.736202,0.356153,0.19091,0.493979,31.8542,3.29004,1.12649
0.9,68.44,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.349995,4.11759,1.42072,0.279938,0.169268,0.515177,62.7149,4.10091,1.49645
1.27,4.28,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0125046,4.63135,0.0273681,0.222878,0.18839,1.16869,0.150006,1.28051,0.507508
1.27,4.28,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0937198,6.24799,0.189524,0.181551,0.152859,1.30684,0.704455,2.18038,1.03029
1.27,4.28,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.293877,7.34691,0.615009,0.342796,0.186122,0.266902,2.8477,3.58993,1.58602
1.27,4.28,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.705821,8.30378,1.48297,0.304138,0.213077,0.808931,4.83885,4.22171,2.00551
1.27,4.28,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122991,4.55521,0.0264126,0.21463,0.189738,0.736097,0.150005,1.17236,0.545251
1.27,4.28,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.100608,6.70722,0.191899,0.20795,0.180356,0.986809,0.549373,2.04464,1.11495
1.27,4.28,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.320295,8.00739,0.628991,0.322331,0.282466,0.445687,1.99205,3.29004,1.58961
1.27,4.28,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.756116,8.89548,1.50707,0.281671,0.200663,0.399209,3.92198,4.10091,2.11166
1.27,6.05,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0122767,4.54693,0.0285832,0.223449,0.187251,1.16678,0.183942,1.28051,0.507508
1.27,6.05,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0793098,5.28732,0.168842,0.181134,0.154399,1.31869,0.995783,2.18038,1.03029
1.27,6.05,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.246046,6.15114,0.533924,0.341117,0.187401,0.270795,4.02537,3.58993,1.58602
1.27,6.05,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.58905,6.93,1.27733,0.300032,0.194573,0.802811,6.83995,4.22171,2.00551
1.27,6.05,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0122152,4.52413,0.0267384,0.214877,0.189516,0.735974,0.150427,1.17236,0.545251
1.27,6.05,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.084105,5.607,0.166122,0.207309,0.179536,0.993143,0.776567,2.04464,1.11495
1.27,6.05,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.265874,6.64684,0.534579,0.33114,0.247344,0.449727,2.81587,3.29004,1.58961
1.27,6.05,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.630444,7.41698,1.27832,0.273436,0.18948,0.439011,5.54392,4.10091,2.11166
1.27,8.56,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0127252,4.71304,0.0322098,0.224323,0.185526,1.16398,0.260255,1.28051,0.507508
1.27,8.56,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0692157,4.61438,0.15834,0.181823,0.153632,1.32153,1.40891,2.18038,1.03029
1.27,8.56,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.20913,5.22824,0.477041,0.34177,0.184628,0.275427,5.69541,3.58993,1.58602
1.27,8.56,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.495096,5.82466,1.12209,0.298834,0.185326,0.804931,9.67769,4.22171,2.00551
1.27,8.56,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0121904,4.51498,0.0290155,0.215535,0.188504,0.735261,0.206457,1.17236,0.545251
1.27,8.56,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0718484,4.78989,0.149882,0.207686,0.178207,0.995181,1.09875,2.04464,1.11495
1.27,8.56,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.223064,5.57661,0.464285,0.336971,0.227008,0.459621,3.98411,3.29004,1.58961
1.27,8.56,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.52928,6.22683,1.09856,0.269067,0.187311,0.471961,7.84395,4.10091,2.11166
1.27,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0142616,5.28207,0.0383854,0.225381,0.183247,1.15995,0.367884,1.28051,0.507508
1.27,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0637476,4.24984,0.159526,0.183135,0.15186,1.32047,1.99157,2.18038,1.03029
1.27,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.18306,4.57651,0.447191,0.34353,0.180044,0.27899,8.05074,3.58993,1.58602
1.27,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.421802,4.96238,1.02053,0.299522,0.179989,0.808765,13.6799,4.22171,2.00551
1.27,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131177,4.8584,0.0338051,0.216465,0.186618,0.732647,0.291838,1.17236,0.545251
1.27,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0638999,4.25999,0.144662,0.208691,0.176413,0.994433,1.55313,2.04464,1.11495
1.27,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.191124,4.77809,0.420672,0.340909,0.215507,0.467336,5.63174,3.29004,1.58961
1.27,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.450374,5.29852,0.97127,0.266828,0.190726,0.502855,11.0878,4.10091,2.11166
1.27,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0168435,6.23833,0.0472604,0.226555,0.180826,1.15574,0.520206,1.28051,0.507508
1.27,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0633512,4.22341,0.173762,0.184809,0.149999,1.31847,2.81617,2.18038,1.03029
1.27,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.16813,4.20326,0.448268,0.345768,0.175286,0.281981,11.3841,3.58993,1.58602
1.27,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.367624,4.32499,0.978865,0.301458,0.175951,0.811829,19.3441,4.22171,2.00551
1.27,17.11,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0151008,5.59289,0.0411634,0.217579,0.184208,0.728814,0.412673,1.17236,0.545251
1.27,17.11,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0605219,4.03479,0.151976,0.210119,0.17432,0.99211,2.19621,2.04464,1.11495
1.27,17.11,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.169821,4.24552,0.407931,0.343685,0.209532,0.471345,7.96356,3.29004,1.58961
1.27,17.11,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.39165,4.60765,0.903437,0.266178,0.195611,0.530122,15.6787,4.10091,2.11166
1.27,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.02045,7.57408,0.059175,0.227826,0.178423,1.15164,0.735767,1.28051,0.507508
1.27,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0683946,4.55964,0.202105,0.18675,0.148322,1.31666,3.98313,2.18038,1.03029
1.27,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.164895,4.12236,0.484272,0.348302,0.170821,0.284811,16.1015,3.58993,1.58602
1.27,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.332886,3.9163,1.00614,0.304161,0.172653,0.81432,27.3598,4.22171,2.00551
1.27,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0180955,6.70203,0.0513081,0.218841,0.181553,0.724414,0.583676,1.17236,0.545251
1.27,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0620937,4.13958,0.172882,0.211832,0.172198,0.989368,3.10627,2.04464,1.11495
1.27,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.159749,3.99372,0.430802,0.345904,0.206756,0.472367,11.2635,3.29004,1.58961
1.27,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.352316,4.14489,0.90643,0.266964,0.198895,0.550971,22.1757,4.10091,2.11166
1.27,34.22,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0251414,9.31161,0.0746854,0.229207,0.176068,1.14768,1.04041,1.28051,0.507508
1.27,34.22,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0788442,5.25628,0.245515,0.18893,0.146914,1.31541,5.63235,2.18038,1.03029
1.27,34.22,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.173302,4.33254,0.557943,0.351034,0.166974,0.287575,22.7683,3.58993,1.58602
1.27,34.22,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.319319,3.75669,1.1104,0.307311,0.170131,0.81639,38.6882,4.22171,2.00551
1.27,34.22,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0221138,8.19029,0.0646637,0.22021,0.178849,0.719976,0.825346,1.17236,0.545251
1.27,34.22,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0687555,4.5837,0.208013,0.213736,0.17041,0.987234,4.39242,2.04464,1.11495
1.27,34.22,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.161388,4.0347,0.491826,0.347929,0.205843,0.471378,15.9271,3.29004,1.58961
1.27,34.22,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.331893,3.90463,0.989676,0.269017,0.199171,0.563836,31.3575,4.10091,2.11166
1.27,48.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0311005,11.5187,0.0946543,0.230714,0.173762,1.14404,1.47153,1.28051,0.507508
1.27,48.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0944081,6.29388,0.305651,0.191395,0.145502,1.314,7.96627,2.18038,1.03029
1.27,48.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.192838,4.82095,0.6719,0.353878,0.164002,0.290108,32.2029,3.58993,1.58602
1.27,48.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.329247,3.8735,1.29799,0.310807,0.168121,0.817058,54.7196,4.22171,2.00551
1.27,48.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0272726,10.101,0.0819296,0.221709,0.176172,0.71567,1.16735,1.17236,0.545251
1.27,48.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.080378,5.35853,0.258465,0.215809,0.169018,0.986066,6.21254,2.04464,1.11495
1.27,48.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.174668,4.36671,0.592223,0.350098,0.205487,0.470115,22.5269,3.29004,1.58961
