arm,metric,scenario,n,baseline,revised,delta,ci95_half
analytic_cR,roll_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.33171674598,0.33212006712000003,0.00040332114000000833,0.0009646010703103089
analytic_cR,roll_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.34671657935,0.34667650782,-4.007153000001734e-05,0.00012289193760495925
analytic_cR,roll_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.33173768200000003,0.3304545876,-0.0012830944000000303,0.001708860214724032
analytic_cR,roll_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.5682313158,0.5646193178,-0.0036119979999999887,0.002477542952271468
analytic_cR,roll_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.33298539347,0.33335148773,0.00036609425999998836,0.0007789413116185195
analytic_cR,roll_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.33189583329,0.33167356688,-0.00022226640999998965,0.00035653557473137024
analytic_cR,roll_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.3732373797,0.3721965276,-0.001040852099999992,0.001439335902509694
analytic_cR,roll_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3571875572,0.3551620685,-0.0020254887000000095,0.0023156322596993677
analytic_cR,roll_rms_deg,ALL,90,0.3719314341888889,0.3711425522922222,-0.0007888818966666689,0.0005265688610482747
analytic_cR,pitch_rms_deg,nonstationary_H1_5_to_H4_0_Tp5_7_to_11_4,10,0.26193257933,0.26233682189,0.0004042425599999983,0.0006715057781658564
analytic_cR,pitch_rms_deg,stationary_jonswap_H0_270_L14_047_A30_00_P60_00,10,0.2649576739,0.26400932664,-0.0009483472600000057,0.0006477326902049566
analytic_cR,pitch_rms_deg,stationary_jonswap_H1_500_L50_710_A_30_00_P120_00,10,0.26852753144999997,0.26840131429,-0.00012621715999999172,0.00015864856039639737
analytic_cR,pitch_rms_deg,stationary_jonswap_H4_000_L112_766_A30_00_P30_00,10,0.2799734458,0.2800114065,3.7960700000005954e-05,0.003275889975997081
analytic_cR,pitch_rms_deg,stationary_jonswap_H8_500_L202_839_A_30_00_P72_00,10,0.2908855126,0.2912425271,0.0003570145000000094,0.0031031330573278466
analytic_cR,pitch_rms_deg,stationary_pmstokes_H0_270_L14_047_A30_00_P60_00,10,0.26671809995,0.26581401669,-0.0009040832599999951,0.0007515340926383013
analytic_cR,pitch_rms_deg,stationary_pmstokes_H1_500_L50_710_A_30_00_P120_00,10,0.2867088281,0.2866054735,-0.00010335459999998992,0.0004363207371716585
analytic_cR,pitch_rms_deg,stationary_pmstokes_H4_000_L112_766_A30_00_P30_00,10,0.2853893452,0.2869281663,0.0015388210999999971,0.0030630900863717935
analytic_cR,pitch_rms_deg,stationary_pmstokes_H8_500_L202_839_A_30_00_P72_00,10,0.3025509657,0.3043551013,0.0018041355999999953,0.006661028101717471
analytic_cR,pitch_rms_deg,ALL,90,0.27862710911444444,0.27885601713444447,0.00022890802000000263,0.0009411398653989448
