family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,seed,arm,spectrum,hs_m,regression_exit_code
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00683216797,0.0053283819,0.021238897,0.0229381975,2.53043246,1.97347474,7.86625814,11.8553085,0.0499124601,42.5522957,0.123576663,0.116997853,2.01100302,11.5983105,13.7659378,1.14944446,0.0,98.8505554,17.4136658,30.0,-12.5863342,25.1758614,23.5712471,1.14944446,0.0,98.8505554,1.14944446,0.0293534864,0.000121443773,1.45013285,0.0500000007,0.105144262,2.88772058,0.224173233,3.2565515,0.0309081208,12.5863342,11.5983105,11,deployed,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0764813498,0.0462407656,0.0936376527,0.129443482,5.09875631,3.08271766,6.24250984,9.67498112,0.385561794,24.2860317,0.16326341,0.205090612,3.31363797,3.5656004,20.4137592,86.7938919,0.26222223,12.9438896,-25.4888153,-30.0,4.51118469,22.9514446,21.3510361,23.2250004,63.8311119,12.9438896,63.8311119,0.0439247414,0.00011806265,2.32569027,0.416080326,2.25050998,4.63510561,0.282510668,3.22539258,0.298228323,4.51118469,3.5656004,11,deployed,PM-Stokes,1.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.263886988,0.170975223,0.248992577,0.401081264,6.59717464,4.27438068,6.22481441,9.91325283,1.04037023,23.933075,0.208657548,0.177653,2.27088571,-0.507970572,15.5274858,95.4850006,0.0611111112,4.45388889,29.0229645,30.0,-0.977035522,15.4120398,15.1571321,0.0611111112,95.4850006,4.45388889,95.4850006,0.045195166,0.000118136813,3.67253065,0.857862711,11.5704069,7.31703568,0.200000003,5.0,1.00055528,0.977035522,0.507970572,11,deployed,PM-Stokes,4.0,1
OU-II,adaptive,periodic,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.638069928,0.415561438,0.513931632,0.918667674,7.50670481,4.88895798,6.04625416,12.1937103,2.16781425,23.7073631,0.165162936,0.272429943,3.23195219,2.94352269,24.0607185,96.3455582,0.268333346,3.38611126,-26.2099457,-30.0,3.79005432,24.1906242,22.5204506,66.4127808,30.2011127,3.38611126,66.4127808,0.0495383702,0.00012770902,4.32223701,1.24732959,23.3022766,8.78030491,0.200000003,5.0,2.10969687,3.79005432,2.94352269,11,deployed,PM-Stokes,8.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.0069870553,0.00559932832,0.0240316428,0.0256454926,2.58779812,2.07382536,8.90060806,12.8172541,0.0534430593,44.9668198,0.115363151,0.133675292,3.19320798,8.89806175,11.2870302,2.31277776,0.0,97.6872253,18.7018433,30.0,-11.2981567,24.0099697,22.5732155,2.31277776,0.0,97.6872253,2.31277776,0.0304348152,0.000110468769,1.47078526,0.0500000007,0.108160466,2.93715763,0.222390324,3.33186746,0.0305005498,11.2981567,8.89806175,11,hard-iron-off,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0797652081,0.0465836525,0.0957472771,0.133041605,5.31768036,3.10557675,6.38315153,10.0386848,0.390963972,24.4900513,0.161020607,0.211166218,3.8156321,3.62696362,20.372076,85.832222,0.295555562,13.8722229,-24.9454956,-30.0,5.05450439,23.3726616,21.3758831,69.2177811,16.9099998,13.8722229,69.2177811,0.0445420891,0.000115864023,2.50580454,0.375940293,2.36055017,4.98793602,0.232279181,3.84065056,0.257714212,5.05450439,3.62696362,11,hard-iron-off,JONSWAP,1.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.276297212,0.178998411,0.253392309,0.4154374,6.90743017,4.47496033,6.33480787,10.0708151,1.04307246,24.2928772,0.192679912,0.185174689,3.73453736,-0.0248545669,17.2109871,95.7333374,0.210000008,4.05666685,29.7513733,30.0,-0.248626709,17.3689499,16.6516438,87.5105591,8.43277836,4.05666685,87.5105591,0.0440961532,0.000120154793,3.93495536,0.79322958,12.2822666,7.8256917,0.200000003,5.0,0.859903038,0.248626709,0.0248545669,11,hard-iron-off,JONSWAP,4.0,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.645231962,0.430606425,0.520069063,0.933926105,7.59096432,5.06595802,6.11845922,12.2951994,2.15460348,24.1375751,0.120016642,0.267619729,3.86143351,1.37006104,27.2402687,94.1166687,0.988333344,4.89499998,-27.769104,-30.0,2.230896,26.4514732,24.6872005,9.53000069,85.5750046,4.89499998,85.5750046,0.045551192,0.000124978455,4.49665833,1.04436076,21.116909,9.12797356,0.200000003,5.0,1.49896431,2.230896,1.37006104,11,hard-iron-off,JONSWAP,8.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00682525244,0.00537158223,0.0212419648,0.022949053,2.52787113,1.98947489,7.86739397,11.860919,0.0499124601,42.5584412,0.119578421,0.110867865,3.22076225,11.9627485,14.1543903,1.01944447,0.0,98.9805603,16.5239258,30.0,-13.4760742,25.3182945,23.2546329,1.01944447,0.0,98.9805603,1.01944447,0.028138889,0.000110235917,1.45013285,0.0500000007,0.105144262,2.88772058,0.224173233,3.2565515,0.0309081208,13.4760742,11.9627485,11,hard-iron-off,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0763347745,0.0461994112,0.0936310515,0.12933737,5.08898497,3.07996058,6.24206972,9.66705036,0.385561794,24.284317,0.162467733,0.202607289,3.7999022,3.56725049,20.4302311,86.8033371,0.261666685,12.9350004,-25.4837189,-30.0,4.51628113,22.9494209,21.3502216,23.2333336,63.8316689,12.9350004,63.8316689,0.0435037203,0.000115754636,2.32569027,0.416080326,2.25050998,4.63510561,0.282510668,3.22539258,0.298228323,4.51628113,3.56725049,11,hard-iron-off,PM-Stokes,1.5,1
