mode,axis,distance_m,spectrum,hs_m,input,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,disp_z_ref_rms_m,disp_z_pct_refrms,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2,installed_rms_mps2,residual_rms_mps2,cutoff_hz
exact,x-fore-aft,0.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962103438,0.00902906246,0.0113718016,0.0174185578,0.317122251,0.12618053,0.647848487,0.0582335629,0.000100050798,0.0499124601,22.783493,4.21177816,1.51928663,0.088680625,0.0311049,0.0,nan
exact,x-fore-aft,0.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667757466,0.0484985188,0.0603321232,0.102230482,0.158342794,0.16696994,0.427923918,0.03879283,0.000115240036,0.385561794,15.6478472,4.02214146,2.32574844,0.438276649,0.0870687,0.0,nan
exact,x-fore-aft,0.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226774886,0.155434132,0.158097878,0.317145944,0.205164999,0.156385288,0.581272244,0.0427851565,0.000123273727,1.04037023,15.1963091,3.95244694,3.67536473,0.908064008,0.106811,0.0,nan
exact,x-fore-aft,0.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.5399912,0.386622548,0.314244062,0.734722257,0.318639159,0.210823014,0.441477656,0.0633732975,0.000128248867,2.16781425,14.4958944,3.69698882,4.32255363,1.31836545,0.136192,0.0,nan
exact,y-port,0.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.00967178214,0.00908232108,0.0114700776,0.0175383743,0.311115742,0.12701413,0.481720835,0.0573244654,0.000104371327,0.0534430593,21.4622383,4.24817657,1.5301708,0.00927250274,0.00827373,0.0,nan
exact,y-port,0.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0687009618,0.0507267863,0.0614798926,0.105227403,0.160465553,0.166268542,0.588549316,0.039066337,0.000111615773,0.390963972,15.7252064,4.09865952,2.50614333,0.395435452,0.0183967,0.0,nan
exact,y-port,0.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.233376876,0.15470399,0.160557643,0.322764397,0.218685284,0.160142228,0.772687018,0.0452534109,0.000129878244,1.04307246,15.3927612,4.01394129,3.93718529,0.840440214,0.0278152,0.0,nan
exact,y-port,0.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.53425765,0.398201227,0.314906776,0.736995101,0.283847094,0.196669772,0.546545982,0.0573399737,0.00012583872,2.15460348,14.6155319,3.70478559,4.49675035,1.10321939,0.0297791,0.0,nan
exact,y-port,0.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.00962114334,0.00902907085,0.0113715371,0.0174184497,0.317122191,0.126180038,0.647849023,0.0582335033,0.000100050689,0.0499124601,22.7829628,4.21168041,1.51929593,0.0886807069,0.00848278,0.0,nan
exact,y-port,0.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0667743236,0.0485002436,0.0603315718,0.10223005,0.158343613,0.16696991,0.427928478,0.0387929045,0.000115241775,0.385561794,15.6477051,4.02210474,2.32576585,0.438276798,0.022693,0.0,nan
exact,y-port,0.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.226774722,0.155431375,0.158097684,0.317144394,0.205165356,0.156385854,0.581274927,0.042785313,0.000123272272,1.04037023,15.196291,3.95244217,3.67536926,0.908064544,0.0349964,0.0,nan
exact,y-port,0.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.539990306,0.386620641,0.314248741,0.734722614,0.318640292,0.210819393,0.441468567,0.0633730292,0.000128250802,2.16781425,14.49611,3.6970439,4.32256746,1.31836593,0.037894,0.0,nan
