arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,yaw_rms_deg,roll_rms_deg,pitch_rms_deg,accel_bias_3d_rms_mps2,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
S1.87_rho1.00,jonswap_H0.270,4,FAIL,0.0448007658,0.0370417647,0.0124513153,0.0594494417,2.47376227,0.306872785,0.287878841,0.0643186942,4.61159801,1.26532924,0.350922436
S1.87_rho1.00,jonswap_H0.270,5,FAIL,0.0458453745,0.0392597429,0.0117925508,0.06149951,5.87569618,0.340705812,0.415367603,0.0883759484,4.36761141,1.25790656,0.351809829
S1.87_rho1.00,jonswap_H1.500,1,FAIL,0.160268068,0.230937958,0.0590354502,0.287234008,3.51589155,0.266712487,0.383993149,0.0659299418,3.9356966,2.18100834,0.725054562
S1.87_rho1.00,jonswap_H1.500,2,FAIL,0.158059657,0.219698638,0.0663536489,0.278663158,3.01403952,0.393867046,0.311686099,0.0782470182,4.42357635,2.18478942,0.726228893
S1.87_rho1.00,jonswap_H1.500,3,FAIL,0.173110962,0.185825959,0.0578801967,0.26047805,3.13212252,0.213689789,0.374480933,0.05999263,3.85867953,2.17850184,0.729579926
S1.87_rho1.00,jonswap_H1.500,4,FAIL,0.162623331,0.207196847,0.0604906306,0.270251721,1.79634821,0.359397173,0.408633322,0.0838956386,4.03270864,2.18348646,0.705685496
S1.87_rho1.00,jonswap_H1.500,5,FAIL,0.151012301,0.234124079,0.0562772863,0.284228653,6.56724262,0.305594742,0.536113083,0.100506425,3.7518189,2.1777575,0.720298052
S1.87_rho1.00,jonswap_H4.000,1,FAIL,0.636657596,0.46952942,0.153872579,0.805895507,2.98921514,0.457681775,0.249482557,0.0735534802,3.84681439,3.58995557,1.12525678
S1.87_rho1.00,jonswap_H4.000,2,FAIL,0.651431501,0.45203343,0.168082893,0.810523987,4.04534864,0.203608319,0.553570747,0.0881514773,4.20207214,3.59055161,1.12444961
S1.87_rho1.00,jonswap_H4.000,3,FAIL,0.625187635,0.376999736,0.150585428,0.745428979,3.82734489,0.186872378,0.62858361,0.0939582586,3.7646358,3.58910298,1.12364471
S1.87_rho1.00,jonswap_H4.000,4,FAIL,0.665612221,0.42042169,0.16356805,0.804082394,2.59231472,0.20458366,0.666956723,0.103744924,4.08920145,3.59000444,1.1244036
S1.87_rho1.00,jonswap_H4.000,5,FAIL,0.644617319,0.462956727,0.152943626,0.808240116,3.9889462,0.431534648,0.753228724,0.142105982,3.82359076,3.58899474,1.12259674
S1.87_rho1.00,jonswap_H8.500,1,FAIL,0.947959244,1.14518702,0.33522591,1.52396083,4.07602549,0.434484988,0.224407986,0.06757541,3.94383407,4.22194338,1.42203033
