arm,record,seed,gate,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,tau_applied_s,sigma_applied_mps2
E_S0.80_rho1.00_inconsist,H4.000,4,FAIL,0.643897235,0.412169307,0.168015718,0.78276211,4.20039272,3.59000444,1.1244036
E_S0.80_rho1.00_inconsist,H4.000,5,FAIL,0.646744013,0.452451795,0.153379753,0.804062068,3.83449388,3.58899474,1.12259674
E_S0.80_rho1.00_inconsist,H8.500,1,FAIL,0.97255677,1.11652625,0.362497956,1.52443504,4.26468182,4.22194338,1.42203033
E_S0.80_rho1.00_inconsist,H8.500,2,FAIL,0.993332267,0.96621424,0.345545053,1.42817378,4.06523561,4.22111464,1.4186244
E_S0.80_rho1.00_inconsist,H8.500,3,FAIL,0.99109894,0.836678684,0.341478616,1.34123671,4.0173955,4.22255135,1.41917109
E_S0.80_rho1.00_inconsist,H8.500,4,PASS,0.961841524,1.01270688,0.346194237,1.43894565,4.07287312,4.22084951,1.41772294
E_S0.80_rho1.00_inconsist,H8.500,5,FAIL,0.953540623,1.13706839,0.320762843,1.51824009,3.77368045,4.22343445,1.41908598
F_S0.80_rho0.80_consistent,H0.270,1,FAIL,0.0485337451,0.0365039445,0.0119419508,0.0618924275,4.42294455,1.2979629,0.350295067
F_S0.80_rho0.80_consistent,H0.270,2,FAIL,0.0470948145,0.035332296,0.0136980731,0.060447745,5.07336044,1.28338206,0.351863265
F_S0.80_rho0.80_consistent,H0.270,3,FAIL,0.0446244627,0.0326053724,0.0120019224,0.0565552749,4.4451561,1.25628102,0.361482561
F_S0.80_rho0.80_consistent,H0.270,4,FAIL,0.0475923307,0.0336005539,0.0125751011,0.0596000031,4.65744495,1.26532924,0.350922436
F_S0.80_rho0.80_consistent,H0.270,5,FAIL,0.0486586466,0.0356899537,0.0118062086,0.0614883974,4.3726697,1.25790656,0.351809829
F_S0.80_rho0.80_consistent,H1.500,1,FAIL,0.174432367,0.222828075,0.0596479103,0.289200425,3.97652721,2.18100834,0.725054562
F_S0.80_rho0.80_consistent,H1.500,2,FAIL,0.171726108,0.212694868,0.0669527128,0.281445593,4.46351385,2.18478942,0.726228893
F_S0.80_rho0.80_consistent,H1.500,3,FAIL,0.186557293,0.178392485,0.0586937554,0.264712036,3.9129169,2.17850184,0.729579926
F_S0.80_rho0.80_consistent,H1.500,4,FAIL,0.174379498,0.201716572,0.0612854101,0.273594022,4.08569384,2.18348646,0.705685496
F_S0.80_rho0.80_consistent,H1.500,5,FAIL,0.163055807,0.227193043,0.0567625277,0.28535217,3.78416848,2.1777575,0.720298052
F_S0.80_rho0.80_consistent,H4.000,1,FAIL,0.684936643,0.414300263,0.160924777,0.816504538,4.02311945,3.58995557,1.12525678
F_S0.80_rho0.80_consistent,H4.000,2,FAIL,0.697158337,0.409918368,0.172944263,0.827026308,4.32360649,3.59055161,1.12444961
F_S0.80_rho0.80_consistent,H4.000,3,FAIL,0.639668703,0.345285982,0.157568052,0.743791759,3.93920135,3.58910298,1.12364471
F_S0.80_rho0.80_consistent,H4.000,4,FAIL,0.694226086,0.379058272,0.169309571,0.808888614,4.23273945,3.59000444,1.1244036
F_S0.80_rho0.80_consistent,H4.000,5,FAIL,0.69204706,0.413176656,0.154063597,0.820597112,3.85158992,3.58899474,1.12259674
F_S0.80_rho0.80_consistent,H8.500,1,FAIL,1.01258707,1.0800997,0.361996412,1.52413559,4.25878143,4.22194338,1.42203033
F_S0.80_rho0.80_consistent,H8.500,2,FAIL,1.03249586,0.962790608,0.346392661,1.45361662,4.07520771,4.22111464,1.4186244
F_S0.80_rho0.80_consistent,H8.500,3,FAIL,1.06166637,0.82430315,0.342480123,1.3870486,4.02917767,4.22255135,1.41917109
F_S0.80_rho0.80_consistent,H8.500,4,PASS,1.01976299,0.987847447,0.347430438,1.46166587,4.08741665,4.22084951,1.41772294
F_S0.80_rho0.80_consistent,H8.500,5,FAIL,0.987309575,1.10670447,0.321736991,1.51759338,3.78514099,4.22343445,1.41908598
G_S1.87_rho0.53_antilaw,H0.270,1,FAIL,0.0550367944,0.0323247313,0.0119152199,0.0649300367,4.41304445,1.2979629,0.350295067
