arm,family,record,axis,settle_own_s,settle_usable_s,peak_err_m,peak_t_s,ss_err_rms_m,ss_ref_rms_m,ss_ratio
engine,NLO,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,33.025,180,3.05051,31.02,1.27808,1.47382,0.867192
engine,TFG,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,72.295,180,10.3692,62.875,2.04919,1.41758,1.44556
engine,TFG,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,86.28,180,0.992894,63.155,0.342565,0,nan
engine,TFG,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,109.49,180,9.51318,65.815,0.868587,1.47382,0.589344
engine,PII,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,2.66148,167.37,1.87789,1.47382,1.27416
engine,OU-II,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,0,180,2.01647,71.305,1.44681,1.41758,1.02062
engine,OU-II,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,0,180,0.00263853,153.435,0.00110574,0,nan
engine,OU-II,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,2.26408,102.14,1.51134,1.47382,1.02546
engine,OU-III,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,x,0,180,3.39523,71.185,2.15397,1.41758,1.51947
engine,OU-III,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,y,0,180,0.09918,123.275,0.0469389,0,nan
engine,OU-III,wave_data_cnoidal_H8.500_L202.839_A0.00_P72.00,z,0,180,4.28246,104.73,2.68492,1.47382,1.82174
engine,NLO,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,180,180,8.96699,36.4336,0.0577153,0.0158745,3.63571
engine,NLO,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,132.934,180,1.15279,21.5444,0.0542189,0,nan
engine,NLO,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,180,180,1.59101,28.7732,0.0215352,0.078717,0.273578
engine,TFG,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,118.939,180,0.133514,42.2498,0.0123012,0.0158745,0.774899
engine,TFG,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,123.327,180,0.0375547,37.2938,0.00974062,0,nan
engine,TFG,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,78.7514,77.7319,0.40176,44.1752,0.0146878,0.078717,0.186591
engine,PII,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,180,180,1.30221,15.5803,0.0125322,0.078717,0.159206
engine,OU-II,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,145.256,180,0.0400608,146.417,0.0137207,0.0158745,0.864318
engine,OU-II,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,125.9,180,0.0318316,78.5465,0.00814361,0,nan
engine,OU-II,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,134.991,135.492,0.688951,91.3644,0.0222122,0.078717,0.282178
engine,OU-III,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,x,148.785,180,0.0904882,34.3181,0.0117147,0.0158745,0.737957
engine,OU-III,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,y,158.309,180,0.0408849,78.5515,0.0101474,0,nan
engine,OU-III,wave_data_fenton_H0.270_L14.047_A0.00_P60.00,z,141.167,138.91,0.584803,92.199,0.0150708,0.078717,0.191455
engine,NLO,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,174.334,180,9.1643,35.6634,0.45954,0.299977,1.53191
engine,NLO,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,y,82.4643,180,2.71517,18.6149,0.460042,0,nan
engine,NLO,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,z,164.245,164.435,1.11984,3.43503,0.140713,0.566739,0.248285
engine,TFG,wave_data_fenton_H1.500_L50.710_A0.00_P120.00,x,68.5869,84.788,2.316,52.0119,0.0911333,0.299977,0.303801
