family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,hs_m,rpm,arm,regression_exit_code
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.64663738,0.451568335,0.521815777,0.94569844,7.60749865,5.31256866,6.139009,12.4501839,2.15460348,24.218647,0.42242527,0.248624191,0.63206327,1.94606137,26.7645473,94.7744446,0.802777827,4.42277765,-27.1213684,-30.0,2.87863159,25.0874672,23.6734409,10.7561111,84.8211136,4.42277765,84.8211136,0.0817779824,0.000126101062,4.4956646,1.04195726,21.0589981,9.12593937,0.200000003,5.0,1.49710143,2.87863159,1.94606137,8.5,0,guard-and-rao,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,25.0723133,24.1387405,13.8235054,37.4484863,294.968384,283.985168,162.629471,493.011841,2.15460348,641.580017,10.8167934,6.60770464,103.744377,89.2502594,90.176178,2.31166673,1.81333339,95.875,59.3854218,-30.0,89.385437,80.7460175,11.9477291,3.89166665,0.233333334,95.875,3.89166665,0.498699993,0.204514191,4.49572897,1.04084599,21.0371399,9.12580013,0.200000003,5.0,1.49736512,89.385437,89.2502594,8.5,2400,unconditioned,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.717725992,0.468543828,0.514558434,0.999717116,8.44383526,5.51227999,6.05362844,13.1613426,2.15460348,23.8818169,0.521323502,0.571323574,1.9026804,9.95952988,28.3614635,82.7200012,1.23944449,16.040556,-19.3347321,-30.0,10.6652679,24.1843967,20.7941322,64.8472214,19.1122227,16.040556,64.8472214,0.128529608,0.000136452596,4.49589634,1.04044104,21.0305214,9.12624168,0.200000003,5.0,1.49903929,10.6652679,9.95952988,8.5,2400,guard-only,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.717725992,0.468543828,0.514558434,0.999717116,8.44383526,5.51227999,6.05362844,13.1613426,2.15460348,23.8818169,0.521323502,0.571323574,1.9026804,2.21175432,26.374052,95.0783386,0.667777777,4.25388908,-26.5900574,-30.0,3.40994263,24.4416142,23.513649,67.4633331,28.2827778,4.25388908,67.4633331,0.128529608,0.000136452596,4.49589634,1.04044104,21.0305214,9.12624168,0.200000003,5.0,1.49903929,3.40994263,2.21175432,8.5,2400,guard-and-rao,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.0071166791,0.00573815405,0.016485136,0.0188502856,2.63580704,2.12524223,6.1056056,9.7425251,0.0499124601,33.0280952,0.330471098,0.0891403183,0.648214877,-5.76861811,58.918438,8.06888866,0.999444485,90.9316711,4.98313904,30.0,-25.016861,26.8338318,10.7434673,8.06888866,0.999444485,90.9316711,8.06888866,0.0582943708,9.68398745e-05,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,25.016861,5.76861811,0.27,0,unconditioned,0
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.0071166791,0.00573815405,0.016485136,0.0188502856,2.63580704,2.12524223,6.1056056,9.7425251,0.0499124601,33.0280952,0.330471098,0.0891403183,0.648214877,-5.76861811,58.918438,8.06888866,0.999444485,90.9316711,4.98313904,30.0,-25.016861,26.8338318,10.7434673,8.06888866,0.999444485,90.9316711,8.06888866,0.0582943708,9.68398745e-05,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,25.016861,5.76861811,0.27,0,guard-only,0
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.0071166791,0.00573815405,0.016485136,0.0188502856,2.63580704,2.12524223,6.1056056,9.7425251,0.0499124601,33.0280952,0.330471098,0.0891403183,0.648214877,2.4794879,4.63749361,0.303333342,0.0,99.6966705,3.24842834,30.0,-26.7515717,28.2537098,10.6216278,0.303333342,0.0,99.6966705,0.303333342,0.0582943708,9.68398745e-05,1.51966047,0.0804252103,0.185731396,3.02446294,0.409234107,2.78987837,0.0310976487,26.7515717,2.4794879,0.27,0,guard-and-rao,0
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.949462891,0.948011518,0.272606105,1.36913097,351.652924,351.115356,100.965225,707.617554,0.0499124601,546.168457,7.27393198,1.55941284,104.021698,nan,nan,0.0,0.0,100.0,80.2056274,30.0,50.2056274,50.9053535,8.15991879,0.0,0.0,100.0,0.0,0.479362339,0.492395967,1.51611638,0.08707086,0.200141847,3.01694632,0.423151702,2.65794206,0.0313713625,50.2056274,nan,0.27,2400,unconditioned,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00812145695,0.00572831789,0.0182916615,0.0208172183,3.00794697,2.1215992,6.7746892,10.7591085,0.0499124601,36.6474876,0.411781788,0.974994481,3.04431224,152.245102,122.589577,4.18000031,6.3544445,89.4655609,7.89300537,30.0,-22.1069946,22.6934948,5.06309986,6.3544445,4.18000031,89.4655609,6.3544445,0.180502728,0.000108182481,1.51774788,0.082192488,0.189335212,3.0195272,0.420475245,2.66753554,0.031131696,22.1069946,152.245102,0.27,2400,guard-only,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00812145695,0.00572831789,0.0182916615,0.0208172183,3.00794697,2.1215992,6.7746892,10.7591085,0.0499124601,36.6474876,0.411781788,0.974994481,3.04431224,-18.2301979,67.3373413,0.502777815,0.0983333364,99.3988876,7.5196991,30.0,-22.4803009,23.2950306,5.68628836,0.0983333364,0.502777815,99.3988876,0.502777815,0.180502728,0.000108182481,1.51774788,0.082192488,0.189335212,3.0195272,0.420475245,2.66753554,0.031131696,22.4803009,18.2301979,0.27,2400,guard-and-rao,1
