family,arm,engine,seed,record,live_s,seed_mps2,true_bz_at_live_mps2,x_startup_rms_m,x_gated_rms_m,x_ref_gated_rms_m,y_startup_rms_m,y_gated_rms_m,y_ref_gated_rms_m,z_startup_rms_m,z_gated_rms_m,z_ref_gated_rms_m,z_peak_300_m,z_ref_startup_rms_m,roll_startup_rms_deg,roll_gated_rms_deg,pitch_startup_rms_deg,pitch_gated_rms_deg,yaw_startup_rms_deg,yaw_gated_rms_deg
OU-II,seed,off,default,pmstokes_H1.500,31.8377,0.072386,0.0482045,0.0810038,0.0800482,0.15315,0.0538854,0.0576742,0.0700072,1.93649,0.0962308,0.385566,3.23036,0.347642,0.0607566,0.151485,0.112146,0.100582,2.52553,0.335366
OU-II,seed,off,default,pmstokes_H4.000,31.8377,0.0742663,0.0482045,0.265175,0.259663,0.560845,0.195093,0.175959,0.299666,4.79286,0.246754,1.04038,8.0324,0.84498,0.0965491,0.203555,0.154957,0.0936816,2.30288,0.775755
OU-II,seed,off,default,pmstokes_H8.500,31.8377,0.0587915,0.0482045,0.776259,0.61793,1.35069,0.454263,0.426165,0.791527,3.50314,0.511695,2.16784,6.77908,1.78784,0.192746,0.25062,0.349599,0.121391,2.62525,0.518047
OU-II,seed,off,11,gerstner_H0.270,31.8377,0.011209,-0.0240258,0.0148515,0.0153593,0.0159078,0.0102781,0.00893831,0,0.729161,0.0204709,0.078711,1.14872,0.0788203,0.31924,0.233626,0.209712,0.193979,3.24238,3.91179
OU-II,seed,off,11,gerstner_H1.500,31.8377,0.00773947,-0.0240258,0.147832,0.125156,0.301023,0.05708,0.0628044,0,4.22477,0.130645,0.566316,7.0292,0.567006,0.332014,0.234379,0.269364,0.212332,3.30493,3.97269
OU-II,seed,off,11,gerstner_H4.000,35.7534,0.010744,-0.0236822,0.632336,0.434376,1.07262,0.149505,0.152374,0,10.4462,0.342229,1.46764,19.9595,1.4709,0.345398,0.237747,0.708395,0.258914,3.71554,4.0377
OU-II,seed,off,11,gerstner_H8.500,35.8134,0.0246179,-0.0236467,2.14298,1.08192,2.55542,0.321163,0.304951,0,22.0937,0.72299,3.06514,44.3243,3.08196,0.367858,0.238303,1.03402,0.25528,3.62786,4.01285
OU-II,seed,off,11,cnoidal_H0.270,31.8377,0.0086192,-0.0240258,0.0310594,0.0309081,0.030964,0.000118337,0.000111366,0,0.0622811,0.0501481,0.0522243,0.128927,0.052182,0.309685,0.242091,0.236846,1.22524,3.13994,5.85187
OU-II,seed,off,11,cnoidal_H1.500,34.9933,0.00607808,-0.0236104,0.234073,0.234278,0.230151,0.000731674,0.00135165,0,0.27331,0.271368,0.272238,0.506382,0.271661,0.312496,0.236634,0.275917,2.05614,3.17631,7.63735
OU-II,seed,off,11,cnoidal_H4.000,38.8991,-0.00372021,-0.0232109,0.683544,0.682452,0.659043,0.00248509,0.00508988,0,0.708324,0.744823,0.713867,1.26625,0.710129,0.310105,0.243254,0.552184,2.04717,4.16811,8.10247
OU-II,seed,off,11,cnoidal_H8.500,37.0587,0.0258937,-0.0235439,1.45085,1.46608,1.41758,0.00483383,0.00549415,0,1.61053,1.61545,1.47381,2.81763,1.49164,0.302878,0.217021,0.537712,1.00511,4.80806,5.86933
