arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
g0.05_m2_a0.71,pmstokes_H1.500,1,FAIL,0.159554422,0.480213493,3.160429,0.0570657514,0.15191941,3.80438328,0.0831412226,0.00015585724,2.04409766,0.791541398
g0.05_m2_a0.71,pmstokes_H1.500,2,FAIL,0.341573358,0.182666734,2.76250935,0.0614295416,0.146183461,4.09530258,0.0647840425,0.000135458889,2.04525042,0.790915489
g0.05_m2_a0.71,pmstokes_H1.500,3,FAIL,0.156231105,0.178607404,3.11867476,0.0548272915,0.156946331,3.65515256,0.0370052829,0.0001270793,2.04276919,0.790095568
g0.05_m2_a0.71,pmstokes_H1.500,4,FAIL,0.315431416,0.233330294,1.7794615,0.0580652021,0.147621691,3.8710134,0.0665929317,0.000141989061,2.04334545,0.791755617
g0.05_m2_a0.71,pmstokes_H1.500,5,FAIL,0.362713397,0.335738659,5.92766571,0.0534073077,0.149627149,3.56048703,0.082641229,0.000135719834,2.04234433,0.789882421
g0.05_m2_a0.71,pmstokes_H4.000,1,FAIL,0.260934979,0.514616191,2.21567369,0.15510191,0.415335566,3.87754774,0.0934060141,0.000153660047,3.28950691,1.12080824
g0.05_m2_a0.71,pmstokes_H4.000,2,FAIL,0.238950893,0.165649995,3.49088144,0.159942403,0.388571799,3.99856019,0.0462610312,0.000142897057,3.29101133,1.12507129
g0.05_m2_a0.71,pmstokes_H4.000,3,FAIL,0.142037213,0.166990831,4.36465263,0.145431787,0.443789274,3.63579464,0.0325256437,0.000126358136,3.29030442,1.12649322
g0.05_m2_a0.71,pmstokes_H4.000,4,FAIL,0.209645301,0.228017896,1.9544487,0.152806729,0.398140579,3.82016826,0.0500720777,0.000147054059,3.29041028,1.12568247
g0.05_m2_a0.71,pmstokes_H4.000,5,FAIL,0.464378625,0.289128006,2.77177095,0.141253322,0.393692046,3.53133297,0.0919069871,0.000172557382,3.29185557,1.12286091
g0.05_m2_a0.71,pmstokes_H8.500,1,FAIL,0.162586063,0.468712866,3.26918554,0.332758069,0.870444298,3.91480064,0.0784314126,0.000171262247,4.10336018,1.49639642
g0.05_m2_a0.71,pmstokes_H8.500,2,FAIL,0.402082056,0.204166308,2.8037591,0.310725242,0.801534474,3.65559101,0.0728789195,0.000144093719,4.10316706,1.49501801
g0.05_m2_a0.71,pmstokes_H8.500,3,FAIL,0.160711735,0.186108634,2.5626471,0.307100058,0.952065408,3.61294174,0.0334292911,0.000201333663,4.10334301,1.49589336
g0.05_m2_a0.71,pmstokes_H8.500,4,FAIL,0.547293842,0.300040036,1.80162907,0.322444797,0.854848027,3.79346824,0.104761377,0.000151400949,4.10386848,1.48797488
g0.05_m2_a0.71,pmstokes_H8.500,5,FAIL,0.338384718,0.385326684,5.78931522,0.30025661,0.853993833,3.53243065,0.0836537406,0.000134447575,4.10165882,1.49425924
g0.05_m2_a0.5,jonswap_H0.270,1,FAIL,0.167113438,0.471737474,3.42246127,0.0117647042,0.0290369857,4.3572979,0.0841752216,0.000162534721,1.2979629,0.350299329
g0.05_m2_a0.5,jonswap_H0.270,2,FAIL,0.301713884,0.188331664,3.99223995,0.0140914405,0.0297835395,5.21905184,0.0598254167,0.000134344809,1.28338206,0.351867527
g0.05_m2_a0.5,jonswap_H0.270,3,FAIL,0.135423079,0.177146018,5.01192093,0.0119016413,0.0313753784,4.40801525,0.0365488641,0.000107835069,1.25628102,0.361486852
g0.05_m2_a0.5,jonswap_H0.270,4,FAIL,0.28598994,0.245427445,2.57485914,0.0125378435,0.0296198688,4.64364576,0.0639757067,0.000135210474,1.26532924,0.350926667
g0.05_m2_a0.5,jonswap_H0.270,5,FAIL,0.364278644,0.318505049,5.74426031,0.0121976696,0.0297896229,4.51765537,0.0819774792,0.000163535937,1.25790656,0.351814181
g0.05_m2_a0.5,jonswap_H1.500,1,FAIL,0.148951605,0.447612852,3.1982367,0.057688456,0.165795162,3.84589696,0.0775832161,0.000155734509,2.18100834,0.725073874
g0.05_m2_a0.5,jonswap_H1.500,2,FAIL,0.379451036,0.215004891,2.73562288,0.0670927614,0.159106791,4.4728508,0.073060669,0.000135078502,2.18478942,0.726248801
g0.05_m2_a0.5,jonswap_H1.500,3,FAIL,0.176422194,0.211391121,3.3280046,0.0567992851,0.176162824,3.78661895,0.0435104594,0.000124301427,2.17850184,0.729600251
g0.05_m2_a0.5,jonswap_H1.500,4,FAIL,0.353656054,0.276967049,1.64909649,0.0608516335,0.159537479,4.05677557,0.0763591602,0.000135950773,2.18348646,0.705704868
g0.05_m2_a0.5,jonswap_H1.500,5,FAIL,0.319308639,0.366467714,6.18115091,0.0554671101,0.165407807,3.69780731,0.0814019665,0.000129522916,2.1777575,0.720317721
g0.05_m2_a0.5,jonswap_H4.000,1,FAIL,0.260829896,0.456786007,2.07172966,0.153578818,0.460871935,3.83947039,0.084725529,0.000158064169,3.58995557,1.12531114
g0.05_m2_a0.5,jonswap_H4.000,2,FAIL,0.22110559,0.222093031,3.28854918,0.166733593,0.442056417,4.16833973,0.0502857938,0.000136143877,3.59055161,1.12450373
g0.05_m2_a0.5,jonswap_H4.000,3,FAIL,0.142222404,0.269027323,4.47499418,0.145262569,0.5025177,3.63156414,0.0478236601,0.000122354541,3.58910298,1.12369895
g0.05_m2_a0.5,jonswap_H4.000,4,FAIL,0.244124383,0.305317461,1.91775143,0.156241417,0.448351204,3.90603542,0.0643950477,0.000140331627,3.59000444,1.12445807
g0.05_m2_a0.5,jonswap_H4.000,5,FAIL,0.409505576,0.385256469,3.04685926,0.148053914,0.450237185,3.70134783,0.0949342251,0.000196421868,3.58899474,1.12265122
g0.05_m2_a0.5,jonswap_H8.500,1,FAIL,0.221065819,0.499104112,2.94213033,0.341726124,0.996036828,4.02030706,0.0865669176,0.000158404,4.22194338,1.42213702
g0.05_m2_a0.5,jonswap_H8.500,2,FAIL,0.297377497,0.172281846,2.574543,0.329543173,0.949221909,3.8769784,0.0548771732,0.000139923039,4.22111464,1.41873169
g0.05_m2_a0.5,jonswap_H8.500,3,FAIL,0.147692755,0.236752018,2.74721885,0.320007294,1.06253076,3.76479173,0.0393712595,0.000143385638,4.22255135,1.41927826
g0.05_m2_a0.5,jonswap_H8.500,4,FAIL,0.296856582,0.241517112,1.54699588,0.325937897,0.953977287,3.83456349,0.0626920387,0.000139444368,4.22084951,1.41782928
g0.05_m2_a0.5,jonswap_H8.500,5,FAIL,0.366576403,0.354769379,5.54396963,0.297608256,0.972442925,3.50127363,0.0841712952,0.000151401953,4.22343445,1.41919327
g0.05_m2_a0.5,pmstokes_H0.270,1,FAIL,0.163095593,0.473584622,3.14042544,0.0117250616,0.0282688625,4.34261513,0.0841660947,0.000157669521,1.18999803,0.396765739
g0.05_m2_a0.5,pmstokes_H0.270,2,FAIL,0.313183159,0.184168771,3.9526484,0.0134723624,0.0283497162,4.98976374,0.0611087978,0.000135870621,1.17476964,0.395676285
g0.05_m2_a0.5,pmstokes_H0.270,3,FAIL,0.140383646,0.182029247,4.7096076,0.0115244966,0.0298576653,4.268332,0.0376142934,0.000117121555,1.14895809,0.385182202
g0.05_m2_a0.5,pmstokes_H0.270,4,FAIL,0.299444824,0.223950073,2.46298933,0.0122369705,0.0284696147,4.5322113,0.0634299666,0.000137407726,1.1575098,0.397553384
g0.05_m2_a0.5,pmstokes_H0.270,5,FAIL,0.351201832,0.303222299,4.97633219,0.0120002022,0.0283069983,4.44451904,0.0786743164,0.000173871813,1.14930069,0.397042245
g0.05_m2_a0.5,pmstokes_H1.500,1,FAIL,0.158855289,0.482469052,3.15623307,0.0568226315,0.15174827,3.78817534,0.0835026428,0.000155913818,2.04409766,0.791541398
g0.05_m2_a0.5,pmstokes_H1.500,2,FAIL,0.341836393,0.18099609,2.75836134,0.0617927089,0.146320939,4.11951399,0.0647020787,0.000135401016,2.04525042,0.790915489
g0.05_m2_a0.5,pmstokes_H1.500,3,FAIL,0.156263068,0.173972756,3.12931108,0.0545996651,0.156668872,3.63997746,0.0364152379,0.000126559433,2.04276919,0.790095568
g0.05_m2_a0.5,pmstokes_H1.500,4,FAIL,0.313258529,0.24191761,1.80116546,0.0579641163,0.147548333,3.86427426,0.0671881959,0.000142093966,2.04334545,0.791755617
