Paired per-(record, seed) change against the deployed variances, percent (negative is better).
Bracketed range is over records and seeds; * marks one sign on every pair.

arm                                         roll                   pitch                     yaw                       z                      3d                 accbias
------------------------------------------------------------------------------------------------------------------------------------------------------------------------
sga_0.36                   -1.14 [ -26.7, +17.7]   +17.41 [ -26.0,+177.0]    +2.28 [ -20.5, +29.0]    -0.10 [  -2.4,  +4.9]    +0.05 [  -0.2,  +0.6]   +14.59 [ -27.6,+150.3] 
sgg_2                    jonswap_H1.500       +9.12    +40.61     +7.27     +3.31    +11.41     +9.22
sgg_2                    jonswap_H4.000      +13.65    +22.25     +5.33     +5.05    +19.31    +15.71
sgg_2                    jonswap_H8.500       +9.63    +36.43    +12.03     +7.06    +14.18     +0.13
sgg_2                    pmstokes_H0.270      +9.51    +25.21     +0.13     +1.52    +13.84     -1.33
sgg_2                    pmstokes_H1.500      +6.57     -1.39     -4.43     +3.33    +12.01     -5.51
sgg_2                    pmstokes_H4.000     +11.79     +1.70     -1.20     +5.41    +20.35    -10.02
sgg_2                    pmstokes_H8.500     +11.45    +26.73    +11.48     +5.34    +15.14     -4.40

sgm_0.25                 jonswap_H0.270      +29.42    +15.70     +3.22     +1.74    +59.09     -2.29
sgm_0.25                 jonswap_H1.500      +28.15    +48.80    -17.63     +4.78    +28.04    +17.28
sgm_0.25                 jonswap_H4.000      +33.43     -5.41     -4.34     +5.79    +14.61    -14.49
sgm_0.25                 jonswap_H8.500      +28.92    +39.24    -12.58     +4.56    +14.18    +17.20
sgm_0.25                 pmstokes_H0.270     +26.76    +43.36     -1.39     +2.82    +60.23     +1.86
sgm_0.25                 pmstokes_H1.500     +22.30    +20.59     -2.42     +4.51    +28.08     +5.90
sgm_0.25                 pmstokes_H4.000     +20.73    +33.40     -6.61     +8.32    +14.76    +19.04
sgm_0.25                 pmstokes_H8.500     +30.68    +73.00     -5.47     +8.04    +13.22    +38.00

sgm_0.5                  jonswap_H0.270      +11.49     +7.40     +2.03     +0.17    +26.62     -0.47
sgm_0.5                  jonswap_H1.500       +9.99     +9.23     -6.23     +1.42    +11.18     +3.16
sgm_0.5                  jonswap_H4.000      +12.21     -2.78     -1.24     +2.19     +5.35     -5.66
sgm_0.5                  jonswap_H8.500      +10.47    +11.41     -3.92     +1.82     +4.92     +6.42
sgm_0.5                  pmstokes_H0.270     +10.83    +17.58     +0.39     +0.43    +27.00     +0.37
sgm_0.5                  pmstokes_H1.500      +7.72    +14.69     +2.62     +0.88    +10.98     +5.26
sgm_0.5                  pmstokes_H4.000      +7.62    +11.78     -1.83     +2.92     +5.35     +7.16
sgm_0.5                  pmstokes_H8.500     +11.54    +26.79     -1.09     +3.24     +4.30    +14.65

sgm_2                    jonswap_H0.270       -9.78     -5.96     -1.53     +0.15    -16.06     -0.83
sgm_2                    jonswap_H1.500       -7.50     +7.83     +4.04     -0.17     -2.52     +1.55
sgm_2                    jonswap_H4.000       -7.09     +4.46     +0.75     -0.53     +0.52     +4.56
sgm_2                    jonswap_H8.500       -5.78     -3.68     +3.37     +0.08     +2.40     -3.96
sgm_2                    pmstokes_H0.270      -9.89     -6.31     -0.97     +0.04    -16.04     -0.09
sgm_2                    pmstokes_H1.500      -5.93    -15.30     -3.88     +0.37     -1.73     -5.06
sgm_2                    pmstokes_H4.000      -4.84     -5.23     +0.49     -0.38     +1.18     -4.37
sgm_2                    pmstokes_H8.500      -6.25     -9.43     +3.48     -1.00     +3.71     -7.53

sgm_4                    jonswap_H0.270      -15.79     -7.76     -2.52     +0.24    -18.71     -1.72
sgm_4                    jonswap_H1.500      -12.99    +21.29     +6.93     -0.15     +2.64     +5.14
sgm_4                    jonswap_H4.000      -10.69    +11.50     +1.17     -0.47     +7.27     +9.79
sgm_4                    jonswap_H8.500       -7.97     +3.72     +6.20     +1.30    +13.48     -2.78
sgm_4                    pmstokes_H0.270     -16.03     -5.07     -1.87     +0.07    -18.54     +0.36
sgm_4                    pmstokes_H1.500     -10.22    -23.32     -7.29     +0.75     +4.62     -7.19
sgm_4                    pmstokes_H4.000      -8.54     -3.71     +0.88     -0.10     +8.95     -5.77
sgm_4                    pmstokes_H8.500      -7.69     -2.03     +8.34     -0.98    +16.77     -8.86

sgm_8                    jonswap_H0.270      -16.17     -7.88     -3.69     +0.31    -17.42     -0.74
sgm_8                    jonswap_H1.500      -10.72    +33.49     +9.03     -0.19     +9.01    +11.24
sgm_8                    jonswap_H4.000       -3.85    +19.19     +0.43     -0.46    +16.03    +16.76
sgm_8                    jonswap_H8.500       +1.66    +17.93     +7.19     +2.63    +28.67     +4.97
sgm_8                    pmstokes_H0.270     -17.31     -2.99     -2.68     +0.08    -17.22     +2.21
sgm_8                    pmstokes_H1.500      -9.78    -26.62    -11.69     +1.02    +11.55     -7.86
sgm_8                    pmstokes_H4.000      -8.92     +1.38     +0.81     +0.11    +18.46     -5.68
sgm_8                    pmstokes_H8.500      +6.86    +14.50    +12.86     -0.53    +33.49     -2.40

pq0_1e-06                jonswap_H0.270       -0.10     -0.62     -0.79     +0.05     -0.02     +0.32
pq0_1e-06                jonswap_H1.500       -0.14     +5.41     +1.69     -0.05     -0.08     +2.08
pq0_1e-06                jonswap_H4.000       -0.12     +4.50     +1.39     -0.06     -0.05     +6.00
pq0_1e-06                jonswap_H8.500       -0.13     +5.16     +4.05     +0.29     -0.49     +1.84
pq0_1e-06                pmstokes_H0.270      -0.26     +2.46     -0.16     -0.01     -0.01     +1.16
pq0_1e-06                pmstokes_H1.500      -0.63     -4.60     -1.57     +0.14     -0.24     -1.67
pq0_1e-06                pmstokes_H4.000      -0.70     +5.05     +4.84     -0.14     -0.12     +2.34
pq0_1e-06                pmstokes_H8.500      -0.21     +1.85     +3.38     -0.28     -0.99     -0.21

pq0_1e-05                jonswap_H0.270       +0.02     -0.31     -0.17     +0.01     +0.01     -0.06
pq0_1e-05                jonswap_H1.500       +0.04     +0.31     +0.05     -0.01     -0.01     +0.22
pq0_1e-05                jonswap_H4.000       +0.10     +1.38     -0.02     -0.03     -0.00     +1.57
pq0_1e-05                jonswap_H8.500       -0.00     +1.27     +0.75     +0.05     -0.04     +1.07
pq0_1e-05                pmstokes_H0.270      -0.02     +0.10     -0.02     +0.00     -0.00     +0.07
pq0_1e-05                pmstokes_H1.500      +0.03     -0.94     -0.60     +0.02     -0.05     -0.07
pq0_1e-05                pmstokes_H4.000      -0.30     +2.05     +1.25     +0.02     +0.03     +1.37
pq0_1e-05                pmstokes_H8.500      -0.10     +0.08     +0.68     -0.07     -0.30     -0.28

pq0_0.001                jonswap_H0.270       -0.06     +0.62     +0.12     -0.01     -0.01     +0.14
pq0_0.001                jonswap_H1.500       +0.02     -0.20     -0.06     +0.00     +0.01     -0.09
pq0_0.001                jonswap_H4.000       -0.70     -0.54     +2.26     +0.12     -0.05     +0.11
pq0_0.001                jonswap_H8.500       +0.05     -1.64     -0.90     -0.09     +0.04     -1.49
pq0_0.001                pmstokes_H0.270      -0.01     +0.21     +0.02     -0.00     +0.00     +0.02
