arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
sgm_4,pmstokes_H0.270,5,FAIL,0.353745788,0.207525223,4.74280262,0.0118916361,0.0460311174,4.40430975,0.068637155,0.000205917793,1.14926147,0.46205315
sgm_4,pmstokes_H1.500,1,FAIL,0.162900135,0.467929095,3.21333694,0.0585068613,0.265404969,3.90045738,0.0679222643,0.000389134686,2.04407048,0.894539535
sgm_4,pmstokes_H1.500,2,FAIL,0.346374571,0.163671404,2.71508098,0.0607524514,0.256281555,4.05016327,0.0624389499,0.000359780213,2.04522014,0.893982172
sgm_4,pmstokes_H1.500,3,FAIL,0.173789963,0.182626456,3.21143174,0.0569921918,0.257639915,3.79947925,0.0417624488,0.000272976904,2.04274011,0.89324075
sgm_4,pmstokes_H1.500,4,PASS,0.493238181,0.170813844,1.37065244,0.0590442531,0.253921866,3.93628335,0.0834754035,0.000235104104,2.04331517,0.894225061
sgm_4,pmstokes_H1.500,5,FAIL,0.347693026,0.258399576,5.67989111,0.0553320199,0.261826038,3.68880129,0.0788270459,0.000398950739,2.04231548,0.892285645
sgm_4,pmstokes_H4.000,1,FAIL,0.226033509,0.490767777,2.30919147,0.163931325,0.746058762,4.09828329,0.0802499503,0.00023671746,3.28952026,1.26662004
sgm_4,pmstokes_H4.000,2,FAIL,0.31814307,0.210423604,3.43620658,0.163694963,0.728029788,4.09237385,0.0543167517,0.000246986368,3.2910316,1.26662004
sgm_4,pmstokes_H4.000,3,FAIL,0.196787834,0.292184949,5.41623163,0.15994978,0.734097481,3.99874449,0.0674957111,0.000286689989,3.29032183,1.26747477
sgm_4,pmstokes_H4.000,4,FAIL,0.337220699,0.705483437,2.71924591,0.159100875,0.72943604,3.9775219,0.116394505,0.000348335481,3.29042935,1.26725042
sgm_4,pmstokes_H4.000,5,FAIL,0.44912836,0.527254045,3.29349113,0.15037407,0.73430866,3.75935173,0.114195488,0.000258772547,3.29187512,1.26917553
sgm_4,pmstokes_H8.500,1,FAIL,0.179709285,0.441786975,3.38916087,0.35359475,1.49971306,4.15993834,0.0772810578,0.000312399061,4.10346127,1.66505456
sgm_4,pmstokes_H8.500,2,FAIL,0.418539643,0.222543031,2.78066039,0.331430286,1.42146659,3.8991797,0.0731057823,0.000312720338,4.10326815,1.66308022
sgm_4,pmstokes_H8.500,3,FAIL,0.189742044,0.155125171,3.18380141,0.350543857,1.49267352,4.12404537,0.042416282,0.000415655057,4.10344315,1.66360283
