scenario,value,seed,disp_z_rms_m,disp_3d_rms_m,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,wave_period_s,period_s,tau_applied_s,sigma_applied_mps2,accel_variance_m2ps4,seg_start_disp_z_rms_m,seg_blend_disp_z_rms_m,seg_recover_disp_z_rms_m,seg_end_disp_z_rms_m
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0,default,0.0598892421,0.147739232,0.210635126,0.168565601,0.565038085,4.06269503,2.09085369,2.03291893,0.737873912,0.71453476,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.10,default,0.0599537715,0.148420751,0.210781872,0.168021381,0.563848674,4.08614874,2.09085369,2.04691958,0.737916052,0.714505315,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.25,default,0.0602016188,0.148405612,0.210773915,0.167998016,0.563702941,4.08644581,2.09085369,2.04882979,0.737801194,0.714390814,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.50,default,0.060411267,0.148519099,0.210756049,0.168101192,0.563862443,4.09298563,2.09085369,2.05123901,0.737824321,0.714524865,nan,nan,nan,nan
wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,1.0,default,0.0605454817,0.148740515,0.210755929,0.168172777,0.563947976,4.10371733,2.09085369,2.05536842,0.737982988,0.714852631,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0,default,0.158145055,0.421570927,0.349325448,0.195339844,0.73563379,6.5823679,3.05197668,3.29729176,1.01300764,1.29545045,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.10,default,0.158034638,0.424161166,0.349513263,0.195048824,0.735737145,6.63041067,3.05197668,3.31822157,1.01530802,1.30044985,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.25,default,0.158744067,0.424388707,0.349542826,0.194937691,0.736012161,6.62840843,3.05197668,3.30714893,1.01523888,1.30090451,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.50,default,0.159472197,0.424968779,0.349580973,0.194792286,0.73653692,6.59144592,3.05197668,3.28229189,1.01540065,1.30203128,nan,nan,nan,nan
wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,1.0,default,0.160225347,0.426156163,0.349621326,0.194685668,0.73716253,6.48110342,3.05197668,3.22135973,1.01531959,1.30345392,nan,nan,nan,nan
