family,tuning_mode,aw_cov_sync,input,window_s,samples,disp_x_rms_m,disp_y_rms_m,disp_z_rms_m,disp_3d_rms_m,disp_x_pct_hs,disp_y_pct_hs,disp_z_pct_hs,disp_3d_pct_refmax,disp_z_ref_rms_m,disp_z_pct_refrms,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,dir_travel_error_deg,dir_travel_rmse_deg,dir_travel_correct_pct,dir_travel_wrong_pct,dir_travel_unresolved_pct,dir_axis_mean_deg,dir_axis_truth_deg,dir_axis_error_deg,dir_axis_rmse_deg,dir_axis_circ_std_deg,dir_sense_forward_pct,dir_sense_reverse_pct,dir_sense_uncertain_pct,dir_sense_dominant_pct,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2,tuning_applied,wave_period_s,frequency_hz,period_s,accel_variance_m2ps4,dir_axis_abs_error_deg,dir_travel_abs_error_deg,seed,arm,spectrum,hs_m,regression_exit_code
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00803971943,0.00592433335,0.0217810068,0.0239613671,2.97767377,2.19419742,8.06703949,12.3841209,0.0499124601,43.6384125,0.108772479,0.229976624,2.73335361,176.843094,157.46463,4.125,25.0594444,70.8155594,17.4594574,30.0,-12.5405426,20.5669613,16.8457088,25.0594444,4.125,70.8155594,25.0594444,0.044862397,0.000131213601,1.45013285,0.0500000007,0.105144262,2.88772058,0.224173233,3.2565515,0.0309081208,12.5405426,176.843094,11,deployed,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0924818441,0.0591571108,0.0934932902,0.144199342,6.16545582,3.94380713,6.23288584,10.7778769,0.385561794,24.2485886,0.126282468,0.2296215,3.62389874,-165.869019,163.535355,0.0772222206,93.1300049,6.79277802,-15.0739899,-30.0,14.9260101,22.3354034,15.8763371,0.0772222206,93.1300049,6.79277802,93.1300049,0.0420297645,0.000145442333,2.32569027,0.416080326,2.25050998,4.63510561,0.282510668,3.22539258,0.298228323,14.9260101,165.869019,11,deployed,PM-Stokes,1.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.299302995,0.196790725,0.248246953,0.435815811,7.48257494,4.91976833,6.2061739,10.7717628,1.04037023,23.8614044,0.228488728,0.197670534,2.36310363,170.563339,167.619156,0.176666677,95.3927765,4.43055582,20.2383728,30.0,-9.7616272,15.9481707,12.5345964,0.176666677,95.3927765,4.43055582,95.3927765,0.0490971431,0.000146053833,3.67253065,0.857862711,11.5704069,7.31703568,0.200000003,5.0,1.00055528,9.7616272,170.563339,11,deployed,PM-Stokes,4.0,1
OU-II,adaptive,periodic,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.728088319,0.474948049,0.513303399,1.00953877,8.5657444,5.58762407,6.03886318,13.3998661,2.16781425,23.6783848,0.268855482,0.322924733,3.69368935,-168.13002,163.166931,1.59500003,90.4677811,7.93722248,-17.8728485,-30.0,12.1271515,22.7329369,18.3419456,90.4688873,1.59388888,7.93722248,90.4688873,0.0619142614,0.000155634552,4.32223701,1.24732959,23.3022766,8.78030491,0.200000003,5.0,2.10969687,12.1271515,168.13002,11,deployed,PM-Stokes,8.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00835748203,0.00626335852,0.0245434958,0.0266732145,3.09536362,2.31976247,9.09018326,13.3308954,0.0534430593,45.9245682,0.105241045,0.274589151,2.94618511,174.649841,164.495789,1.96222222,30.7350006,67.3027802,17.6784668,30.0,-12.3215332,19.6536198,15.7148428,30.7350006,1.96222222,67.3027802,30.7350006,0.0516906828,0.000136230767,1.47078526,0.0500000007,0.108160466,2.93715763,0.222390324,3.33186746,0.0305005498,12.3215332,174.649841,11,hard-iron-off,JONSWAP,0.27,1
OU-II,adaptive,periodic,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0959054381,0.0604257211,0.0956109017,0.148292169,6.39369583,4.02838135,6.37405968,11.1894197,0.390963972,24.4551697,0.127471402,0.236956924,3.87028313,-165.624573,163.479813,0.438333333,92.2911148,7.2705555,-15.2563171,-30.0,14.7436829,22.601593,15.7820702,0.218333334,92.511116,7.2705555,92.511116,0.0432453603,0.000144039368,2.50580454,0.375940293,2.36055017,4.98793602,0.232279181,3.84065056,0.257714212,14.7436829,165.624573,11,hard-iron-off,JONSWAP,1.5,1
OU-II,adaptive,periodic,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,900.0,180000,0.310979128,0.205533206,0.252625346,0.450301558,7.77447796,5.13832998,6.31563377,10.9159737,1.04307246,24.2193489,0.206019461,0.207315311,3.79703569,172.651398,168.530746,0.0905555561,95.3688889,4.54055548,22.2897034,30.0,-7.71029663,15.3004932,13.002512,95.3688889,0.0905555561,4.54055548,95.3688889,0.0470320806,0.000149073487,3.93495536,0.79322958,12.2822666,7.8256917,0.200000003,5.0,0.859903038,7.71029663,172.651398,11,hard-iron-off,JONSWAP,4.0,1
OU-II,adaptive,periodic,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,900.0,180000,0.741526008,0.488181233,0.519068301,1.0284034,8.72383499,5.74330854,6.10668564,13.5389996,2.15460348,24.0911293,0.194921717,0.31831184,3.93019032,-170.202164,163.766708,0.820555568,91.8316727,7.34777784,-20.028595,-30.0,9.97140503,21.0427265,18.2478466,91.8316727,0.820555568,7.34777784,91.8316727,0.0537779741,0.000153553716,4.49665833,1.04436076,21.116909,9.12797356,0.200000003,5.0,1.49896431,9.97140503,170.202164,11,hard-iron-off,JONSWAP,8.5,1
OU-II,adaptive,periodic,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,900.0,180000,0.00806986168,0.00592505326,0.0217815042,0.0239721257,2.98883748,2.19446421,8.06722355,12.3896809,0.0499124601,43.6394119,0.109259672,0.229482621,3.00745153,176.613892,157.264313,4.14777803,25.1611118,70.6911163,17.3090515,30.0,-12.6909485,20.6389656,16.8363533,25.1611118,4.14777803,70.6911163,25.1611118,0.0448320843,0.000136591334,1.45013285,0.0500000007,0.105144262,2.88772058,0.224173233,3.2565515,0.0309081208,12.6909485,176.613892,11,hard-iron-off,PM-Stokes,0.27,1
OU-II,adaptive,periodic,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,900.0,180000,0.0920650661,0.0590420142,0.0934790894,0.143875912,6.13767099,3.9361341,6.23193884,10.7537031,0.385561794,24.2449055,0.126644537,0.226862296,3.85078216,-165.861328,163.546158,0.0583333336,93.1383362,6.80333328,-15.0739288,-30.0,14.9260712,22.3113785,15.8507919,0.0583333336,93.1383362,6.80333328,93.1383362,0.0416489206,0.00014395827,2.32569027,0.416080326,2.25050998,4.63510561,0.282510668,3.22539258,0.298228323,14.9260712,165.861328,11,hard-iron-off,PM-Stokes,1.5,1
